label,treatment,spcode,dia10
hene2,nb,NETE,3.4
hene2,b,NETE,4.5
pifi5,nb,PIFI,3.2
pifi5,b,PIFI,3.2
pifi3,nb,PIFI,2.4
pifi3,b,PIFI,2.5
pifi2,nb,,4.2
pifi2,b,,3.3
hene4,nb,,3
hene4,b,,3.9
hene3,nb,,2.8
hene3,b,,2.3
hene1,nb,,3.2
hene1,b,,4.1
hene5,nb,,2.8
hene5,b,,2.5
pifi1,nb,,3.3
pifi1,b,,3.5
pifi4,nb,,2.6
pifi4,b,,3.5
erle3,nb,,3.5
erle3,b,,4.1
scsc3,nb,,2.5
scsc3,b,,2.8
scsc4,b,,2.5
scsc4,b,,2.5
erle5,nb,,2.5
erle5,b,,2.2
scsc5,nb,,1.7
scsc5,b,,3.3
erle2,nb,,3.3
erle2,b,,3.5
scsc2,nb,,2.2
scsc2,b,,2.5
erle1,nb,,6.4
erle1,b,,5.9
erle4,nb,,3
erle4,b,,2
scsc1,nb,,2.5
scsc1,b,,4.2
