site,sample point,location,quadrat ID,type,code,dbh,cover rate
RHL,1,,,tree,PICE,27.9,
RHL,1,under,under-1,grass,BOGR,,10%
RHL,1,under,under-1,grass,ERLE,,20%
RHL,1,under,under-1,grass,PIFI,,75%
RHL,1,under,under-1,grass,MUBIG,,10%
RHL,1,under,under-1,ground,BG,,10%
RHL,1,under,under-2,grass,PIFI,,65%
RHL,1,under,under-2,ground,BG,,35%
RHL,1,under,under-3,grass,SCSC,,35%
RHL,1,under,under-3,grass,PIFI,,15%
RHL,1,under,under-3,grass,MUBIG,,25%
RHL,1,under,under-3,ground,BG,,50%
RHL,1,open,open-1,grass,ERLE,,80%
RHL,1,open,open-1,grass,MUSPIKE,,10%
RHL,1,open,open-1,ground,BG,,20%
RHL,1,open,open-2,grass,ANGE,,30%
RHL,1,open,open-2,grass,ERLE,,40%
RHL,1,open,open-2,grass,BOGR,,15%
RHL,1,open,open-2,ground,BG,,25%
RHL,1,open,open-3,grass,ANGE,,25%
RHL,1,open,open-3,grass,ERLE,,20%
RHL,1,open,open-3,grass,BOGR,,35%
RHL,1,open,open-3,ground,BG,,25%
RHL,2,,,tree,QUGR3,22.8,
RHL,2,,,tree,QUGR3,20.6,
RHL,2,,,tree,QUGR3,24.4,
RHL,2,under,under-1,grass,PIFI,,70%
RHL,2,under,under-1,ground,BG,,30%
RHL,2,under,under-2,grass,PIFI,,45%
RHL,2,under,under-2,ground,BG,,55%
RHL,2,under,under-3,grass,PIFI,,40%
RHL,2,under,under-3,ground,BG,,60%
RHL,2,open,open-1,herb,ACAN,,35%
RHL,2,open,open-1,grass,ANGE,,5%
RHL,2,open,open-1,grass,ERLE,,35%
RHL,2,open,open-1,grass,MUBIG,,20%
RHL,2,open,open-1,grass,BOGR,,10%
RHL,2,open,open-1,ground,BG,,20%
RHL,2,open,open-2,grass,"Aristida ""FS""",,30%
RHL,2,open,open-2,grass,SCSC,,15%
RHL,2,open,open-2,grass,MUSPIKE,,10%
RHL,2,open,open-2,grass,BOGR,,25%
RHL,2,open,open-2,grass,MUBIG,,10%
RHL,2,open,open-2,ground,BG,,20%
RHL,2,open,open-3,grass,BOGCU,,35%
RHL,2,open,open-3,grass,ERLE,,20%
RHL,2,open,open-3,grass,"Aristida ""FS""",,5%
RHL,2,open,open-3,ground,BG,,45%
RHL,3,,,tree,PICE,25.3,
RHL,3,,,tree,QUGR3,36.9,
RHL,3,,,tree,PICE,24.8,
RHL,3,,,tree,QUEM,32.6,
RHL,3,under,under-1,grass,PIFI,,35%
RHL,3,under,under-1,grass,BOCU,,5%
RHL,3,under,under-1,ground,BG,,60%
RHL,3,under,under-2,grass,PIFI,,45%
RHL,3,under,under-2,ground,BG,,55%
RHL,3,under,under-3,grass,PIFI,,60%
RHL,3,under,under-3,ground,BG,,40%
RHL,3,open,open-1,grass,PAHA/PAVI?,,90%
RHL,3,open,open-1,grass,Setaria,,25%
RHL,3,open,open-1,ground,BG,,10%
RHL,3,open,open-2,grass,SCSC,,60%
