trial.date,trial.num,label,spcode,temp,humidity,wind.v,start.t,initial.mass,ignition,combustion,smoldering,max.fh,end.t,end.mass,final.mass
7/5/18,1,hene2,,82.7,50.1,0,12:28,1466,1,90.29,902.63,172,13:04,1370,1361
7/5/18,2,scsc5,,84.8,49.5,0,13:06,1445,2.09,97.56,123.91,104,13:19,1410,1406
7/5/18,3,erle4,,85.1,47.1,0,13:22,1365,2.57,33.18,41.78,61,13:39,1355,1352
7/5/18,4,pifi1,,85.5,45.8,0,13:41,1657,1.6,39.03,73.8,98,13:58,1636,1629
7/5/18,5,scsc2,,86.1,44.4,0,14:00,1522,2.16,55.47,48.52,93,14:15,1506,1502
7/5/18,6,erle5,,86.5,43,0,14:18,1512,0.86,34.92,39.7,65,14:30,1501,1498
7/5/18,7,hene4,,86.7,41.6,0,14:34,1608,1,95.5,642.48,140,14:56,1526,1520
7/5/18,8,pifi2,,87,39.8,0,15:00,1506,3.36,60.33,63.34,80,15:14,1495,1488
7/5/18,9,hene1,,87.2,39.3,0,15:16,1674,1.53,91.94,34.83,73,15:30,1655,1550
7/5/18,10,scsc1,,87.4,38.6,0,15:34,1558,1.7,82.48,414.57,133,16:00,1503,1492
7/5/18,11,scsc3,,88,38.5,0,16:05,1443,1.15,48.38,51.93,100,16:13,1425,1423
7/5/18,12,erle2,,88.3,38.4,0,16:15,1533,0.73,78.11,194.04,105,16:22,1499,1497
7/5/18,13,pifi3,,88.5,38.5,0,16:25,1452,1.13,32.1,32.55,78,16:33,1441,1437
7/5/18,14,erle1,,88.6,38.3,0,16:35,1674,0.99,84.82,1128.16,151,17:00,1586,1581
7/5/18,15,pifi4,,88.8,37.5,0,17:03,1494,0.36,53.07,52.56,112,17:11,1470,1463
7/5/18,16,hene5,,89,37,0,17:13,1478,0.8,62.07,99.65,104,17:22,1451,1447
7/5/18,17,scsc4,,89.3,36.5,0,17:24,1449,0.73,53.26,24.35,120,17:33,1429,1425
7/5/18,18,hene3,,88.7,35.9,0,17:35,1491,1,38.97,84.87,100,17:42,1472,1469
7/5/18,19,erle3,,88.5,35.5,0,17:44,1613,0.47,78.51,290.4,121,17:55,1572,1567
7/5/18,20,pifi5,,88.2,35,0,17:57,1559,0.56,29.16,26.8,87,18:05,1546,1540
