label,treatment,spcode,dia10
hene2,nb,NETE,3.4
hene2,b,NETE,4.5
pifi5,nb,PIFI,3.2
pifi5,b,PIFI,3.2
pifi3,nb,PIFI,2.4
pifi3,b,PIFI,2.5
pifi2,nb,PIFI,4.2
pifi2,b,PIFI,3.3
hene4,nb,NATE,3
hene4,b,NATE,3.9
hene3,nb,NATE,2.8
hene3,b,NATE,2.3
hene1,nb,NATE,3.2
hene1,b,NATE,4.1
hene5,nb,NATE,2.8
hene5,b,NATE,2.5
pifi1,nb,PIFI,3.3
pifi1,b,PIFI,3.5
pifi4,nb,PIFI,2.6
pifi4,b,PIFI,3.5
erle3,nb,ERLE,3.5
erle3,b,ERLE,4.1
scsc3,nb,SCSC,2.5
scsc3,b,SCSC,2.8
scsc4,b,SCSC,2.5
scsc4,b,SCSC,2.5
erle5,nb,ERLE,2.5
erle5,b,ERLE,2.2
scsc5,nb,SCSC,1.7
scsc5,b,SCSC,3.3
erle2,nb,ERLE,3.3
erle2,b,ERLE,3.5
scsc2,nb,SCSC,2.2
scsc2,b,SCSC,2.5
erle1,nb,ERLE,6.4
erle1,b,ERLE,5.9
erle4,nb,ERLE,3
erle4,b,ERLE,2
scsc1,nb,SCSC,2.5
scsc1,b,SCSC,4.2
