spcode	label	location	initial	dry.total	bag	ziplock
SCSC	scsc3	sun	13.32	13.43	3.21	2.53
SCSC	scsc1	sun	12.04	12.43	3.17	2.46
SCSC	scsc2	sun	8.56	9.05	3.19	2.39
NETE	hs-sun1	sun	14.7	11.15	3.15	2.54
NETE	hs-sun2	sun	9.53	8.66	3.19	2.54
NETE	hs-sun3	sun	10.17	8.37	3.06	2.52
NETE	hs1	shade	4.49	4.78	3.14	2.5
NETE	hs2	shade	3.41	3.98	3.2	2.59
NETE	hs3	shade	4.93	5.15	3.18	2.54
NETE	hs4	shade	6.15	6.18	3.13	2.51
NETE	hs5	shade	5.98	6.1	3.22	2.52
NETE	hs6	shade	4.59	4.86	3.09	2.5
BOGR	bogr1	sun	5.25	5.68	3.18	2.56
BOGR	bogr2	sun	5.01	4.64	3.21	2.56
BOGR	bogr3	sun	4.02	5.56	3.18	2.51
PIFI	pifi1	shade	8.55	8.47	3.18	2.58
PIFI	pifi2	shade	6.55	6.76	3.17	2.51
PIFI	pifi3	shade	3.11	3.7	3.17	2.53
PIFI	pifi4	shade	3.08	3.69	3.2	2.5
PIFI	pifi5	shade	5.92	6.31	3.2	2.52
PIFI	pifi6	shade	2.74	3.42	3.19	2.51
PIFI	pifi7	shade	30.4	3.88	3.19	2.54
PIFI	pifi8	shade	4.08	4.56	3.2	2.51
ERLE	erle1	sun	9.12	9.44	3.14	2.47
ERLE	erle2	sun	11.05	11.34	3.17	2.45
ERLE	erle3	sun	10.97	11.21	3.16	2.41
ERLE	erle4	sun	12.29	12.42	3.15	2.48
ERLE	erle5	sun	8.21	8.61	3.16	2.41
"Aristida ""FS"""	astr1	sun	7.2	7.15	3.23	2.6
"Aristida ""FS"""	astr2	sun	6.28	6.55	3.14	2.51
"Aristida ""FS"""	astr3	sun	7.34	7.44	3.19	2.54
MU SPIKE	spike1	sun	7.99	7.71	3.13	2.66
MU SPIKE	spike2	sun	5.17	5.57	3.17	2.53
MU SPIKE	spike3	sun	8.56	8.52	3.16	2.59
MU SPIKE	spike4	sun	6.7	6.81	3.17	2.6
MUBIG	big1	sun	12.93	13.16	3.18	2.4
MUBIG	big2	sun	10.29	10.64	3.18	2.44
MUBIG	big3	sun	8.43	8.58	3.08	2.4
MUBIG	big4	sun	18.27	17.44	3.14	2.48
MUBIG	big5	sun	19.43	18.63	3.2	2.5
