site 	tree tag	spcode	dbh	height	 crown sch%	crown csm%	maxsch_c	maxcsm_c	maxsch_b	sch_30%	mortality	sprout
STK	922	JUDE2	55.2	6.5	30	0	5.5	0	0.1	0	0	0
STK	923	PICE	18.3	8	60	0	7.5	0	0.25	0	0	0
STK	924	JUDE2	16.8	3	70	0	3	0	1.2	100	0	1
STK	925	JUDE2	12.1	2.8	90	0	2.8	0	0.5	50	0	1
STK	926	JUDE2	10.2	2	80	0	2	0	0.5	50	0	1
STK	927	JUDE2	39	8.5	70	1	8	5	0.5	30	0	1
STK	928	QUGR3	41.8	9	60	10	9	5	0.35	40	0	1
STK	929	JUDE2	6.5	3.5	80	0	3.5	0	0.3	80	0	1
STK	930	JUDE2	6	3	90	0	3	0	0	0	0	1
STK	931	JUDE2	1	1.5	85	15	1.5	1	0.45	100	0	1
STK	932	JUDE2	34	6	85	0	5.5	0	1.4	50	0	1
STK	934	QUGR3	17.6	5	100	0	5	1.5	0	0	0	0
STK	933	QUGR3	15.7	4.5	100	0	4.5	0	0.15	0	0	0
STK	935	JUDE2	39.4	8	0	0	0	0	0.35	30	0	0
STK	936	QUGR3	32	9	45	0	9	0	0	0	0	0
STK	937	JUDE2	22	9	70	0	8.5	0	2	10	0	1
STK	938	JUDE2	16.3	9.5	15	0	9	0	0	0	0	1
STK	939	JUDE2	7.2	4.5	70	0	4	0	0	0	0	1
STK	940	JUDE2	18.9	7.5	10	0	4	0	0	0	0	0
STK	941	PICE	19.2	8	65	0	8	0	0.15	0	0	0
STK	942	PICE	9.1	6	50	0	2.5	0	0.15	0	0	0
STK	943	JUDE2	7.2	3.5	20	15	3	1.8	1.2	10	0	0
STK	945	JUDE2	8.1	3.5	90	5	3.5	2.2	2.5	60	0	1
STK	946	JUDE2	13.8	6.5	20	0	5	0	5	80	0	1
STK	947	JUDE2	13.2	6	80	10	5.5	4	4.5	85	0	1
STK	948	JUDE2	10.5	6.5	20	0	5	0	2.5	65	0	0
STK	949	QUGR3	19.6	7	100	0	7	0	0	0	0	0
STK	950	QUGR3	16.5	6	95	0	6	0	0	0	0	0
STK	951	QUGR3	14	4	90	0	4	0	0	0	0	0
STK	952	QUGR3	14.7	5	95	0	5	0	0	0	0	0
STK	953	QUGR3	22.8	7	95	1	7	1.5	0	0	0	0
STK	954	QUGR3	60.4	12	65	0	8	0	0	0	0	0
RHL	955	QUGR3	32.7	10.5	95	1	10	4.2	2	40	NA	NA
RHL	959	QUGR3	14.9	6.2	40	0	5.5	0	0.05	0	0	1
RHL	960	QUGR3	35.1	5.5	70	0	5	0	0	0	0	0
RHL	961	PICE	18.1	6	25	0	4.5	0	1	60	0	0
RHL	962	PICE	18.1	8	65	0	8	6	0.5	1	0	1
RHL	963	JUDE2	10.6	3.5	15	59	2	1	1.2	70	0	1
RHL	964	PICE	2.5	2	70	30	2	1.5	0.75	100	1	0
RHL	965	QUGR3	18.2	4	95	5	4	1.4	0.1	0	0	1
RHL	966	PICE	2.9	2.2	100	0	2.2	0	0.45	100	1	0
RHL	967	QUGR3	30.9	5	95	5	5	3	0.5	100	0	1
RHL	968	QUGR3	36.1	7	100	0	7	0	0.1	0	0	0
RHL	969	PICE	8.6	5	95	0	4.8	0	0.8	60	0	1
RHL	970	QUGR3	3.1	2	60	40	2	1.8	0.3	60	0	1
RHL	971	JUDE2	7.6	4	90	10	4	1.5	0.1	0	0	1
RHL	972	QUGR3	32.4	6	95	0	5.5	0	0	0	0	0
RHL	973	PICE	12.8	7	99	1	7	1.7	0.15	0	0	1
RHL	974	PICE	12.9	5.5	95	5	5.5	2.5	0	0	0	1
RHL	975	JUDE2	10.8	4.5	20	80	4	4.5	2	100	1	0
RHL	976	JUDE2	8.5	4	0	100	0	4	0.5	100	1	0
RHL	977	PICE	15.5	6.5	60	0	4	0	0.9	85	0	0
RHL	978	PICE	14.2	6.5	80	0	6.5	0	0.6	60	0	0
RHL	979	PICE	12.3	5.5	90	1	5.5	3	0.5	10	0	0
RHL	980	PICE	14.8	6	95	1	6	4	0.5	30	0	0
RHL	981	PICE	20.8	5.5	95	1	5.5	3.5	0.75	60	0	0
RHL	982	PICE	19.6	6.5	50	5	6.5	5	4	100	1	0
RHL	983	QUGR3	22.8	5	40	60	5	4	2.5	50	0	0
RHL	985	PICE	12.4	5	90	10	5	3.5	0.6	40	0	0
RHL	986	JUDE2	4.6	2.5	80	15	2.5	0.5	0.75	100	0	1
