label,spcode,ini.mass,final.mass,ziplock
hene4,NATE,4.95,4.94,2.39
hene3,NATE,5.09,5.09,2.35
scsc5,SCSC,4.85,4.73,2.41
pifi3,PIFI,3.18,3.18,2.38
hene1,NATE,22.88,18.39,2.38
erle1,ERLE,6.18,6.18,2.4
pifi5,PIFI,4.65,4.65,2.37
erle2,ERLE,4.09,4.09,2.41
erle4,ERLE,3.47,3.47,2.42
scsc1,SCSC,4.65,4.65,2.41
pifi2,PIFI,4.05,4.05,2.37
hene5,NATE,5.55,4.26,2.7
erle3,ERLE,4.34,4.34,2.37
pifi1,PIFI,4.7,4.67,2.38
scsc3,SCSC,3.83,3.83,2.49
scsc4,SCSC,4.56,4.56,2.41
erle5,ERLE,3.22,3.21,2.42
pifi4,PIFI,5.27,5.27,2.84
scsc2,SCSC,3.43,3.43,2.42
