spcode	scientific name
ANGE	Andropogon gerardii
ARPA	Aristida pansa
ARPU	Aristida purpurea
BG	bare ground
BOCU	Bouteloua curtipendula
BOER	Bouteloua eriopoda
BOGR	Bouteloua gracilis
BOHI	Bouteloua hirsuta
BRMO	Bromus mollis
DICA	Digitaria californica
DIOL	Dichanthelium oligosanthes
ERIN	Eragrostis intermedia
ERLE	Eragrostis lehmanniana
FB	forb
HIMU	Hilaria mutica
JUDE2	Juniperus deppeana
LEDU	Leptochloa dubia
MUPO	Muhlenbergia porteri
MURI	Muhlenbergia rigens
MUWR	Muhelenbergia wrightii
NATE	Nassella tenuissima
PAHA	Panicum hallii
PICE	Pinus cembroides
PIFI	Piptochaetium fimbriatum
QUGR3	Quercus grisea
SCSC	Schizachyrium scoparium
SG	sedge
SEGR	Setaria grisebachii
JS	juncus
SB	shrub
SPAI	Sporobolus airoides
SPCR	Sporobolus cryptandrus
SPPY	Sporobolus pyramidalis
grass ukwn	unkown grass 1
grass ukwn2	unkown grass 2
grass ukwn3	unkown grass 3
grass ukwn4	unkown grass 4
MU ukwn	unkown Muhlenbergia
SC ukwn	unkown Schizachyrium
SP ukwn	unkown Sporobolus
