site,sample.point,location,quadrat.ID,type,spcode,dbh,cover.rate
WIM,1,under,1,tree sapling,QUGR3,,20%
WIM,3,under,1,tree sapling,QUGR3,,1%
WIM,6,under,1,tree sapling,QUGR3,,3%
STK,7,under,1,tree sapling,QUGR3,,10%
WIM,8,under,1,tree sapling,JUDE2,,30%
WIM,5,open,1,tree sapling,QUGR3,,2%
WIM,1,,1,tree sapling,JUDE2,,10%
WIM,5,,1,tree sapling,JUDE2,,5%
WIM,1,under,2,tree sapling,QUGR3,,5%
WIM,5,under,2,tree sapling,QUEM,,20%
STK,6,under,2,tree sapling,QUGR3,,10%
WIM,5,open,2,tree sapling,QUGR3,,10%
WIM,8,open,2,tree sapling,QUGR3,,15%
WIM,3,under,2,tree sapling,JUDE2,,20%
RHL,4,under,2,tree sapling,JUDE2,,1%
WIM,4,open,2,tree sapling,JUDE2,,20%
WIM,5,open,2,tree sapling,JUDE2,,20%
RHL,6,open,2,tree sapling,JUDE2,,25%
WIM,1,under,3,tree sapling,QUGR3,,15%
WIM,8,under,3,tree sapling,JUDE2,,1%
RHL,1,,,tree,PICE,27.9,
STK,1,,,tree,JUDE2,64,
STK,1,,,tree,JUDE2,57.4,
WIM,1,,,tree,JUDE2,51.9,
RHL,2,,,tree,QUGR3,22.8,
RHL,2,,,tree,QUGR3,20.6,
RHL,2,,,tree,QUGR3,24.4,
STK,2,,,tree,JUDE2,65.5,
WIM,2,,,tree,JUDE2,80.7,
RHL,3,,,tree,PICE,25.3,
RHL,3,,,tree,PICE,24.8,
RHL,3,,,tree,QUEM,32.6,
RHL,3,,,tree,QUGR3,36.9,
STK,3,,,tree,JUDE2,20.7,
STK,3,,,tree,JUDE2,15,
STK,3,,,tree,JUDE2,10.4,
STK,3,,,tree,JUDE2,2.5,
WIM,3,,,tree,QUGR3,39.3,
RHL,4,,,tree,QUGR3,34.6,
STK,4,,,tree,QUGR3,30,
STK,4,,,tree,QUGR3,44.5,
STK,4,,,tree,QUGR3,57,
WIM,4,,,tree,JUDE2,66.4,
