spcode,light,block,treatment,rep,length,dia.a,dia.b,mass
nete,s,b4,b,1,16,0.18,0.15,0.0023
nete,s,b4,b,1,16,0.1,0.09,
nete,s,b4,b,1,16,0.18,0.12,
nete,s,b4,b,2,16,0.07,0.08,0.0024
nete,s,b4,b,2,16,0.12,0.12,
nete,s,b4,b,2,16,0.14,0.13,
nete,s,b4,b,3,16,0.12,0.11,0.0018
nete,s,b4,b,3,16,0.09,0.1,
nete,s,b4,b,3,16,0.06,0.07,
nete,s,b4,h,1,20,0.12,0.11,0.0034
nete,s,b4,h,1,20,0.09,0.09,
nete,s,b4,h,1,20,0.12,0.09,
nete,s,b4,h,2,20,0.17,0.14,0.0042
nete,s,b4,h,2,20,0.13,0.11,
nete,s,b4,h,2,20,0.12,0.12,
nete,s,b4,h,3,20,0.09,0.12,0.0041
nete,s,b4,h,3,20,0.16,0.15,
nete,s,b4,h,3,20,0.17,0.18,
nete,fs,b3,b,1,20,0.24,0.23,0.0069
nete,fs,b3,b,1,20,0.15,0.27,
nete,fs,b3,b,1,20,0.15,0.19,
nete,fs,b3,b,2,20,0.23,0.22,0.0063
nete,fs,b3,b,2,20,0.2,0.22,
nete,fs,b3,b,2,20,0.18,0.2,
nete,fs,b3,b,3,20,0.17,0.22,0.0064
nete,fs,b3,b,3,20,0.2,0.21,
nete,fs,b3,b,3,20,0.14,0.15,
nete,fs,b3,h,1,20,0.33,0.36,0.0133
nete,fs,b3,h,1,20,0.4,0.29,
nete,fs,b3,h,1,20,0.23,0.23,
nete,fs,b3,h,2,20,0.2,0.25,0.0089
nete,fs,b3,h,2,20,0.25,0.37,
nete,fs,b3,h,2,20,0.23,0.3,
nete,fs,b3,h,3,20,0.31,0.44,0.0097
nete,fs,b3,h,3,20,0.28,0.3,
nete,fs,b3,h,3,20,0.21,0.3,
nete,fs,b2,b,1,20,0.33,0.49,0.01
nete,fs,b2,b,1,20,0.37,0.41,
nete,fs,b2,b,1,20,0.33,0.45,
nete,fs,b2,b,2,20,0.26,0.29,0.009
nete,fs,b2,b,2,20,0.25,0.31,
nete,fs,b2,b,2,20,0.39,0.34,
nete,fs,b2,b,3,20,0.26,0.21,0.0094
nete,fs,b2,b,3,20,0.21,0.27,
nete,fs,b2,b,3,20,0.19,0.23,
nete,s,b5,h,1,20,0.12,0.06,0.0032
nete,s,b5,h,1,20,0.09,0.11,
nete,s,b5,h,1,20,0.17,0.18,
nete,s,b5,h,2,20,0.09,0.09,0.0036
nete,s,b5,h,2,20,0.13,0.15,
nete,s,b5,h,2,20,0.18,0.15,
nete,s,b5,h,3,20,0.11,0.11,0.0034
nete,s,b5,h,3,20,0.11,0.12,
nete,s,b5,h,3,20,0.11,0.14,
nete,s,b5,b,1,20,0.11,0.09,0.0026
nete,s,b5,b,1,20,0.09,0.11,
nete,s,b5,b,1,20,0.1,0.1,
nete,s,b5,b,2,20,0.16,0.16,0.0027
nete,s,b5,b,2,20,0.09,0.09,
nete,s,b5,b,2,20,0.04,0.07,
