spcode,light,block,treatment,rep,area,mass,thick.a,thick.b,thick.c
agsc5,fs,b3,b,1,1.673,0.0061,0.11,0.11,0.12
agsc5,fs,b3,b,2,1.917,0.0058,0.08,0.08,0.13
agsc5,fs,b3,b,3,1.91,0.006,0.09,0.11,0.12
agsc5,fs,b3,h,1,1.898,0.0054,,,
agsc5,fs,b3,h,2,2.989,0.0092,,,
agsc5,fs,b3,h,3,2.976,0.0087,,,
agsc5,s,b3,b,1,3.546,0.008,0.06,0.07,0.09
agsc5,s,b3,b,2,2.764,0.0061,0.09,0.05,0.09
agsc5,s,b3,b,3,3.962,0.0094,0.08,0.09,0.1
agsc5,s,b3,h,1,3.103,0.0065,,,
agsc5,s,b3,h,2,2.274,0.0068,,,
agsc5,s,b3,h,3,1.836,0.0051,,,
agsc5,fs,b4,b,1,2.587,0.0117,0.09,0.1,0.11
agsc5,fs,b4,b,2,2.987,0.0108,0.1,0.1,0.11
agsc5,fs,b4,b,3,2.245,0.0102,0.07,0.08,0.1
agsc5,fs,b4,h,1,2.327,0.0074,,,
agsc5,fs,b4,h,2,1.678,0.0057,,,
agsc5,fs,b4,h,3,2.192,0.0075,,,
agsc5,s,b4,b,1,2.354,0.0043,0.06,0.07,0.08
agsc5,s,b4,b,2,1.055,0.002,0.05,0.06,0.06
agsc5,s,b4,b,3,1.023,0.0023,0.07,0.09,0.09
agsc5,s,b4,h,1,1.477,0.0028,,,
agsc5,s,b4,h,2,1.818,0.004,,,
agsc5,s,b4,h,3,1.656,0.0031,,,
agsc5,s,b5,b,1,2.188,0.0051,0.09,0.12,0.12
agsc5,s,b5,b,2,2.433,0.0071,0.11,0.11,0.13
agsc5,s,b5,b,3,1.796,0.0054,0.08,0.11,0.12
agsc5,s,b5,h,1,2.221,0.0063,,,
agsc5,s,b5,h,2,3.151,0.0094,,,
agsc5,s,b5,h,3,1.552,0.0044,,,
agsc5,fs,b5,b,1,2.131,0.0058,0.09,0.09,0.11
agsc5,fs,b5,b,2,2.487,0.0066,0.09,0.11,0.12
agsc5,fs,b5,b,3,2.485,0.0068,0.07,0.07,0.08
agsc5,fs,b5,h,1,2.386,0.0065,,,
agsc5,fs,b5,h,2,2.936,0.0112,,,
agsc5,fs,b5,h,3,2.946,0.0105,,,
agsc5,s,b1,b,1,2.409,0.0059,0.08,0.1,0.11
agsc5,s,b1,b,2,2.339,0.0063,0.07,0.07,0.07
agsc5,s,b1,b,3,2.393,0.0057,0.08,0.09,0.11
agsc5,s,b1,h,1,2.32,0.0057,,,
agsc5,s,b1,h,2,1.55,0.0035,,,
agsc5,s,b1,h,3,1.347,0.0026,,,
agsc5,fs,b1,b,1,2.052,0.0066,0.09,0.1,0.08
agsc5,fs,b1,b,2,1.839,0.0063,0.09,0.1,0.08
agsc5,fs,b1,b,3,2.085,0.0058,0.05,0.06,0.06
agsc5,fs,b1,h,1,1.845,0.0066,,,
agsc5,fs,b1,h,2,2.075,0.008,,,
agsc5,fs,b1,h,3,1.836,0.0075,,,
agsc5,s,b2,b,1,4.446,0.0093,0.08,0.08,0.09
agsc5,s,b2,b,2,4.889,0.0123,0.09,0.1,0.11
agsc5,s,b2,b,3,4.025,0.0104,0.1,0.1,0.11
agsc5,s,b2,h,1,5.104,0.008,,,
agsc5,s,b2,h,2,3.674,0.0053,,,
agsc5,s,b2,h,3,4.13,0.0072,,,
agsc5,fs,b2,b,1,1.735,0.0049,0.08,0.1,0.1
agsc5,fs,b2,b,2,2.189,0.0061,0.07,0.07,0.1
agsc5,fs,b2,b,3,1.391,0.003,0.05,0.06,0.07
agsc5,fs,b2,h,1,2.937,0.0077,,,
agsc5,fs,b2,h,2,2.881,0.0084,,,
agsc5,fs,b2,h,3,2.471,0.0068,,,
ante2,fs,b3,b,1,20.283,0.107,0.1,0.11,0.15
ante2,fs,b3,b,2,17.825,0.1046,0.1,0.12,0.12
ante2,fs,b3,b,3,13.286,0.0706,0.1,0.11,0.12
ante2,fs,b3,h,1,10.342,0.0489,,,
ante2,fs,b3,h,2,13.286,0.0621,,,
ante2,fs,b3,h,3,11.069,0.0533,,,
ante2,s,b3,b,1,17.851,0.0631,0.08,0.09,0.1
ante2,s,b3,b,2,9.263,0.0256,0.12,0.13,0.14
