spcode,light,block,wind,trial.date,start.time,initial.weight,t50.ini,tbase.ini,t50.flam,tbase.flam,t50.smol,tbase.smol,ignition,combustion,smoldering,max.flam,end.time,end.weight,final.weight,f.fuelresid,
bogr2,fs,b4,0,3/29/19,12:11,1682.5,17.7,17,19.1,21.9,19,20.8,2.39,30.63,7.61,15,12:18,1680.2,1668.8,10.8,memo
agsc5,fs,b4,0,3/29/19,12:24,1288.9,18,18.2,22.7,64.7,22.5,66.8,2.63,231.8,0.41,25,12:33,1257,1247.1,5.5,
ercu2,fs,b4,0,3/29/19,12:53,1769.3,18.6,18.9,35.3,117.9,28.9,36,1.93,73.85,154.49,110,12:59,1716.4,1704,11.2,
elvi3,s,b4,0,3/29/19,13:17,1722,19.6,21.1,20.9,24,19.5,20.5,2.79,38.03,4.43,5,13:20,1721,1714.5,6.2,
navi4,fs,b4,0,3/29/19,13:33,1883.3,18.5,18.9,25.8,32.6,28,26.9,1.78,65.1,17.21,40,13:39,1876.5,1869.8,6.5,
ercu2,s,b4,0,3/29/19,13:57,1402.3,20.2,19.6,22.7,24.3,22.5,26.3,0.56,46.17,15.73,20,14:06,1395.3,1386.6,8,
sesc2,s,b4,0,3/29/19,14:22,2138.6,20.7,20.2,21.7,21.2,18.6,18.9,2.95,1,11.63,10,14:33,2137.3,2119.6,16.6,
sesc2,fs,b4,0,3/29/19,14:40,1832.7,21.5,20.5,22.8,27.1,24.2,25.8,7.79,19.95,6.56,15,14:50,1829.7,1807.6,21.2,
elvi3,fs,b4,0,3/29/19,14:59,1861.6,22.6,21.7,31.9,25,24.4,22.9,1.28,31.33,14.98,50,15:06,1849.8,1823.6,23.2,
arpu9,fs,b4,0,3/29/19,15:13,1929,22.2,18.7,27.2,25.7,25.1,25.2,0.77,27.26,10.3,50,15:21,1925.7,1920.2,4.7,
bogr2,s,b4,0,3/29/19,15:29,1653,23.2,22.3,21.8,25.7,23.9,24.8,0.43,11.51,0.62,5,15:40,1652,1648.6,3.3,
pava2,fs,b4,0,3/29/19,15:46,2028.2,23.3,23.6,30.8,45.9,29.7,43.6,0.91,21.48,9.11,45,16:00,2023.5,2014.5,7.4,
navi4,s,b4,0,3/29/19,16:03,1651,24.5,24.8,23.7,26.3,24,25.2,3.13,12.43,1.2,5,16:14,1650.2,1647.1,3,
arpu9,s,b4,0,3/29/19,16:23,1621.8,24.3,23.1,23.9,24.2,25.1,23.5,0.52,18.04,1.09,15,16:32,1621.3,1617.3,3.8,
pava2,s,b4,0,3/29/19,16:36,1740,24.4,23.3,na,na,na,na,na,na,na,na,16:45,1739.7,1738.1,1.3,ignition failed
agsc5,s,b4,0,3/29/19,16:48,1511.8,24.5,23.4,na,na,na,na,na,na,na,na,16:53,1511.4,1510.5,0.9,igniton failed
dica8,s,b4,0,4/19/19,11:35,1533.6,13.6,13.8,23,16.2,21,15.5,2.18,4.08,2.01,5,11:52,1533.1,1507.9,24.2,
bosa,fs,b4,0,4/19/19,11:55,1036.3,13.8,13.7,28.7,17.2,25.3,17.2,0.83,38.13,13.73,75,12:09,1023.7,972.5,48.6,
pimi,fs,b4,0,4/19/19,12:17,1107,13.5,14.3,14.7,18.3,14.7,17.5,2.43,1.58,1,3,12:30,1105,1092,12.6,
poco,s,b4,0,4/19/19,12:37,669.3,14.2,14.3,14.6,17.2,14.5,14.8,0.45,6.81,117.46,5,12:46,667.9,654.5,13,
ante2,fs,b4,0,4/19/19,12:56,1352.4,15.3,15.8,20,27,33.4,18.9,2.11,56.53,14.58,62,13:09,1344.1,1337.9,5.8,
paha,s,b4,0,4/19/19,13:22,1608.5,16.3,16.4,19.6,17.7,25.7,18.2,1.65,12.56,8.78,55,13:35,1606.1,1591.7,13.9,
nete,fs,b4,0,4/19/19,13:42,1324.8,17.4,16.1,21.3,21.6,21.2,21.4,1.38,11.03,20.13,62,13:50,1323,1322.8,0,
feru2,fs,b4,0,4/19/19,13:55,996.7,18.9,16.9,43.2,20.5,39.7,20.2,1.25,33.61,13.45,68,14:08,985.9,969.8,13.8,
chla5,s,b4,0,4/19/19,14:15,1717.5,18.6,17.1,25.6,18.8,22.2,18.9,1.82,24.46,1.06,50,14:25,1716.4,1707.5,8.2,
poco,fs,b4,0,4/19/19,14:35,776.4,18.4,18.2,20.2,21.1,20.2,19,1.19,7.92,0.6,2,14:45,774,739.7,33.9,
ante2,s,b4,0,4/19/19,14:51,1274.6,19.1,17.2,20.7,19.7,23.8,19.9,1.62,16.46,1.53,41,15:04,1273.6,1269.5,3.8,
bosa,s,b4,0,4/19/19,15:09,1578.6,19.6,17.8,21,19.2,21.1,19.2,1.70,13.5,1.56,10,15:20,1577.4,1562.3,15,
pimi,s,b4,0,4/19/19,15:23,1620.8,19.8,18.1,20.4,19.2,20.2,18.6,2.47,4.36,0.93,5,15:30,1620.5,1618.3,2.2,
feru2,s,b4,0,4/19/19,15:34,928,20.9,19.1,21.4,19.9,20.6,19.7,0.73,11.12,0.61,3,15:43,926.5,910,16.4,
dica8,fs,b4,0,4/19/19,15:48,1282.4,20.7,20,23.1,21.4,22.1,20.8,3.69,22.77,10.07,59,16:00,1278.7,1264.5,13.4,
paha,fs,b4,0,4/19/19,16:08,1574.9,20.8,19.2,93.4,26.3,72.4,25.1,1.07,63.16,11.1,121,16:20,1552.9,1533,13.7,
chla5,fs,b4,0,4/19/19,16:27,956.1,22,19.3,25,32.6,24.6,29.8,1.25,32.76,3.11,55,16:39,952.5,947,5.4,
nete,s,b4,0,4/19/19,16:45,1579.4,22,18.9,21.9,20.4,21.7,20.2,1.35,6.07,0.47,5,16:50,1578.6,1578.4,0.2,
bogr2,fs,b3,0,4/25/19,11:52,1003.1,22.1,26.1,25.8,26,24.9,25.2,1.21,11.12,1.68,32,12:01,1001.9,985,16.3,
pimi,fs,b3,0,4/25/19,12:06,794,20.5,19.1,26.9,25.3,23.5,24.9,0.80,28.86,3.2,28,12:18,792.1,786.1,5.2,
feru2,s,b3,0,4/25/19,12:23,943,21.2,20.2,22.6,28.9,21,30.2,1.07,19.32,2.33,15,12:32,939.9,932.7,6.7,
poco,s,b3,0,4/25/19,12:37,705.6,21.1,20.1,30.8,22.8,25,23.4,0.83,16.82,17.91,40,12:50,703.7,696.9,5.9,
dica8,s,b3,0,4/25/19,12:53,1618.7,22,20.5,37,22.5,48.4,22,1.00,21.55,15.68,59,13:04,1615.8,1596.8,18.9,
navi4,fs,b3,0,4/25/19,13:10,1185.8,23.1,20.8,52.7,44.7,43.5,52.8,1.40,39.94,41.66,76,13:21,1176.7,1174.9,0.7,
ante2,s,b3,0,4/25/19,13:29,1817,23.1,20.7,26.2,24.4,28.2,24.8,1.02,16.39,1.63,36,13:38,1815.8,1806.7,6.2,
arpu9,fs,b3,0,4/25/19,13:44,1399,22.8,20.3,33.8,22.6,32.7,22.3,1.95,19.61,4.1,50,13:52,1397.5,1393.7,3.4,
feru2,fs,b3,0,4/25/19,13:59,1839.9,23.2,21.4,46,35.4,53.1,116.6,2.37,31.55,423.09,61,14:15,1815.9,1807.8,4.3,
bogr2,s,b3,0,4/25/19,14:23,1482.9,22.5,20.8,25.6,21.7,25.1,21.8,1.03,8.99,0.54,38,14:30,1482.4,1479.8,2.5,
navi4,s,b3,0,4/25/19,14:36,1337.9,22.6,21.4,25,24.7,25.2,24.3,1.16,14.3,5.57,30,14:45,1337.1,1334.1,2.7,
dica8,fs,b3,0,4/25/19,14:52,1418,23.2,22.7,54.7,32.6,36.2,27.8,1.16,33.03,16.18,59,15:02,1413.3,1393.8,18.9,
poco,fs,b3,0,4/25/19,15:09,1031.7,24.2,22.2,25.2,29.9,25,28,1.27,20.38,21.54,15,15:17,1029.7,1023,6.8,
arpu9,s,b3,0,4/25/19,15:22,1152.3,23.1,21.2,25.7,23.1,26.7,22.3,1.15,12.83,1.43,38,15:29,1150.5,1141.4,9.2,
ante2,fs,b3,0,4/25/19,15:35,1397.3,23.8,21.9,69.2,38.7,67.5,32.3,2.40,22.59,11.79,102,15:44,1389.8,1379.7,7.1,
pimi,s,b3,0,4/25/19,15:52,1393.2,25.3,23,25.7,24.9,25.7,24.5,0.99,9.16,0.58,13,15:59,1392.7,1389.6,2.8,
paha,fs,b3,0,4/26/19,11:14,1296.2,16.2,16.4,44.3,61.9,32.6,27.4,1.02,21.74,3.82,70,11:25,1294.7,1290.6,3.5,
chla5,fs,b3,0,4/26/19,11:33,819.9,16.7,16.7,17.8,20.7,17.2,18.6,1.80,12.73,16.7,54,11:41,818.5,806.4,11.3,
agsc5,fs,b3,0,4/26/19,11:56,1008,16.8,17.3,17.8,27.8,16.9,30.1,0.70,1.25,52.61,30,12:05,1006.2,1003.3,2.7,
