spcode,light,block,h2,midW.a,midW.b,baseW.a,baseW.b,tiller.num,tiller1tck.a,tiller1tck.b,tiller2tck.a,tiller2tck.b,tiller3tck.a,tiller3tck.b
bogr2,fs,b4,20.1,11,9.5,8.1,9.5,111,0.25,0.46,0.4,0.43,0.65,0.99
bogr2,fs,b4,20.1,14.5,9.5,6,9.2,111,0.48,0.66,0.4,0.54,0.37,0.7
bogr2,fs,b4,20.1,11.5,12.5,7.7,7,111,0.52,0.47,0.35,0.48,0.5,0.73
agsc5,fs,b4,12.5,10.5,10.5,7.2,5.5,235,0.52,0.58,0.82,0.92,0.49,0.56
agsc5,fs,b4,12.5,11.2,16.5,5.8,6,235,0.36,0.57,0.9,0.73,0.69,0.48
agsc5,fs,b4,12.5,16,20,6.5,7,235,0.52,0.49,1.1,0.83,0.64,0.74
navi4,fs,b4,14,12.5,9.3,7,7.5,61,1.41,1.53,1.03,1.02,1.6,1.72
navi4,fs,b4,14,11.5,11.5,7.8,6.5,61,0.62,1.63,1.07,1.2,1.07,1.12
navi4,fs,b4,14,12,14,5.5,8,61,0.66,1.17,0.59,0.77,0.89,1.72
ercu2,fs,b4,38.5,48.5,54,14.5,13.3,119,2.29,3.87,1.99,3.86,1.5,3.33
ercu2,fs,b4,38.5,58.3,52,13.5,12.3,119,1.05,2.69,1.64,3.21,1.88,1.27
ercu2,fs,b4,38.5,50,60,13.3,14,119,0.72,2.6,3.87,1.33,1.14,1.12
pava2,fs,b4,43,12.5,19,6.3,4.5,35,0.44,0.49,1.11,1.59,0.92,1.12
pava2,fs,b4,43,18,23.5,7.2,6.5,35,0.76,0.72,0.95,1.04,0.74,0.98
pava2,fs,b4,43,21,24,5.5,6,35,0.63,0.62,0.79,1.01,0.75,0.74
elvi3,fs,b4,56.5,24.5,23.5,8.3,9.9,81,1.6,2.05,1.55,1.9,1.03,1.54
elvi3,fs,b4,56.5,33.5,28,8,7,81,2.16,2.43,1.65,1.64,1.35,1.5
elvi3,fs,b4,56.5,22.5,31,9.2,8.6,81,1.9,2.19,0.94,1.73,0.72,0.64
arpu9,fs,b4,39,71,45.5,4.7,3,46,0.54,0.82,1.09,1.16,0.52,0.8
arpu9,fs,b4,39,44.5,46,5,4.2,46,0.72,1.06,1.27,1.1,0.96,1.11
arpu9,fs,b4,39,29.5,49.5,3.5,4.5,46,0.52,0.92,1.09,1.1,1.29,1.3
sesc2,fs,b4,68,39,24.5,6,4,25,0.75,1.64,0.99,1.27,1.96,1.85
sesc2,fs,b4,68,32.7,44.3,5.5,4.6,25,1.44,2.42,1.05,1.43,1.51,1.95
sesc2,fs,b4,68,62.5,44,5.1,5.5,25,0.76,1.04,1.1,1.55,1.73,2.12
elvi3,s,b4,20,22.7,18.5,4.1,3.5,16,0.89,1.31,1.64,1.78,1.68,1.64
elvi3,s,b4,20,14,19,3.5,4.1,16,0.84,0.92,1.33,1.88,1.26,1.55
elvi3,s,b4,20,14,17,3.9,4,16,0.69,0.96,0.97,1.66,0.93,1.54
bogr2,s,b4,12.3,24,22,4.2,3.9,64,0.97,0.96,0.69,1.1,0.45,0.72
bogr2,s,b4,12.3,25,24.5,3,4.5,64,0.39,0.53,0.39,0.49,0.35,0.54
bogr2,s,b4,12.3,30,23.6,3.3,3.6,64,0.2,0.26,0.3,0.38,0.33,0.4
arpu9,s,b4,37,17,26.2,2.6,1.8,16,0.87,1.07,0.55,0.66,0.59,0.82
arpu9,s,b4,37,17,24,2.3,2,16,0.93,1.13,0.76,0.94,0.51,0.88
arpu9,s,b4,37,21,16,2,2.2,16,0.81,0.95,0.66,0.69,0.35,0.31
navi4,s,b4,24,15.3,37,4.7,3.1,19,1.24,1.55,1.48,1.82,1.16,1.25
navi4,s,b4,24,18,11.6,4.2,4.3,19,1.18,1.08,1.31,1.51,1.16,1.26
navi4,s,b4,24,14,15,3.2,4.5,19,1.18,1.2,1.31,1.48,0.96,1.27
pava2,s,b4,17,29,12,2.5,2.5,20,1.03,1.32,0.6,0.34,0.44,0.67
pava2,s,b4,17,28.5,17.4,3,2.8,20,1.05,1.09,0.22,0.51,0.38,0.49
pava2,s,b4,17,25.3,8.5,2.3,2.5,20,0.43,0.44,0.25,0.23,0.24,0.33
ercu2,s,b4,37.8,18,45,6,4.6,35,1.34,2.2,1.6,2.69,1.23,1.72
ercu2,s,b4,37.8,45,45,5.5,7,35,1.05,1.41,1.1,1.82,0.87,1.19
ercu2,s,b4,37.8,36.5,45,6,6.7,35,0.63,1.01,1.11,1.51,0.79,1.48
agsc5,s,b4,5.5,8.5,8,3,3,30,0.34,0.76,0.33,0.3,0.24,0.28
agsc5,s,b4,5.5,10,7.5,2.5,2,30,0.4,0.62,0.24,0.26,0.28,0.38
agsc5,s,b4,5.5,8.5,10,2.5,2.5,30,0.42,0.43,0.17,0.18,0.17,0.1
sesc2,s,b4,55,21,51,5.5,5.2,25,1.55,1.82,1.76,2.16,0.72,2.11
sesc2,s,b4,55,62,21.5,6.5,6,25,1.48,2,1.6,2.07,1.56,1.82
sesc2,s,b4,55,73.5,28,7,6.5,25,1.61,2,1.83,2.32,1.45,1.51
