spcode,light,block,t.fresh,d.fresh,m.leaf,m.nleaf,d.fuelresid
arpu9,s,b4,1.07,0.43,0.36,0.18,1.9
arpu9,fs,b4,1.45,1.45,0.52,0.71,4.5
pava2,fs,b4,1.03,1.03,0.75,0.24,6.8
navi4,s,b4,0.79,0.19,0.25,0.06,1.7
bogr2,s,b4,0.84,0.19,0.26,0.14,1.6
navi4,fs,b4,1.66,1.59,1.01,0.39,5.6
bogr2,fs,b4,2.38,1.68,1.18,0.36,7.2
ercu2,fs,b4,5.81,4.2,2.33,1.98,9.8
elvi3,fs,b4,3.7,3.25,1.82,0.99,13.1
agsc5,fs,b4,2.94,1.72,1.63,0.27,4
ercu2,s,b4,2.14,0.44,0.72,0.36,4.2
agsc5,s,b4,0.08,0,0.02,0.01,0.3
pava2,s,b4,0.99,0.66,0.62,0.16,1
sesc2,s,b4,4.01,3.74,0.72,1.85,9.8
sesc2,fs,b4,3.17,2.75,0.74,1.76,16.8
elvi3,s,b4,1.55,0.85,0.78,0.08,3
paha,fs,b4,3.17,2.91,0.97,1.22,9.2
chla5,fs,b4,2.08,1.35,0.62,0.95,3.2
poco,fs,b4,6.74,2.38,2.75,0.94,18.8
nete,fs,b4,0.22,0.22,0.13,0.06,
bosa,fs,b4,3.48,2.64,0.62,1.26,28.7
dica8,s,b4,2.48,1.99,0.31,0.87,12.1
chla5,s,b4,2.21,1.3,0.54,0.96,5.8
nete,s,b4,0.07,0.07,0.02,0.01,0.2
pimi,fs,b4,1.7,0.95,0.9,0.26,8.4
ante2,fs,b4,3.43,2.68,1.24,1.42,4.2
poco,s,b4,4.27,1.71,2.46,0.94,9.8
dica8,fs,b4,3.3,3.13,0.47,1.71,8.9
paha,s,b4,2.95,2.74,0.8,0.91,6.5
pimi,s,b4,0.54,0.12,0.26,0.1,1.1
feru2,fs,b4,3.04,1.77,1.39,0.53,8.4
feru2,s,b4,1.82,0.33,0.61,0.18,7.2
ante2,s,b4,2.45,1.18,1.03,0.22,2.4
bosa,s,b4,3.7,3.35,0.52,1.61,8.3
pava2,s,b3,0.59,0.43,0.32,0.13,0.7
dica8,fs,b3,4.32,4.29,0.38,2.66,13.6
ante2,fs,b3,5.29,4.47,1.94,2.14,4.6
arpu9,s,b3,1.36,1.02,0.42,0.29,4.5
poco,fs,b3,2.99,2.27,1.74,0.28,3.9
dica8,s,b3,3.03,2.1,0.63,1.12,12.9
feru2,s,b3,4.31,2.68,1.62,0.73,3.5
navi4,fs,b3,1.88,1.78,1.11,0.58,0.5
ante2,s,b3,0.87,0.76,0.43,0.24,3.9
arpu9,fs,b3,0.56,0.5,0.26,0.26,2.6
feru2,fs,b3,3.07,2.1,2.33,0.19,3.7
bogr2,s,b3,1.35,0.73,0.53,0.24,1.7
navi4,s,b3,1.04,0.85,0.64,0.23,1.7
elvi3,s,b3,2.25,2.06,1.5,0.37,2.9
sesc2,fs,b3,3.18,2.24,0.49,1.06,5.5
chla5,fs,b3,4.75,2.37,1.44,1.8,5.6
paha,fs,b3,1.36,1.28,0.48,0.51,2.2
ercu2,s,b3,4.98,3.04,2.18,1.22,5.3
agsc5,fs,b3,0.82,0.82,0.53,0.25,2.4
poco,s,b3,2.57,1.52,1.69,0.45,4.7
pimi,fs,b3,1.53,0.8,0.68,0.4,3.8
agsc5,s,b3,1.47,0.51,0.67,0.11,1.3
pimi,s,b3,0.85,0.28,0.36,0.13,1.4
ercu2,fs,b3,5.1,2.93,2.25,1.59,6.1
nete,fs,b3,0.53,0.53,0.29,0.21,1.5
elvi3,fs,b3,6.25,6.25,5.24,0.79,2
pava2,fs,b3,1.74,1.74,0.89,0.76,1.2
nete,s,b3,0.25,0.25,0.19,0.05,0.5
paha,s,b3,1.66,1.64,0.4,0.63,5.3
bosa,s,b3,3.71,3.24,0.71,1.24,12.8
bogr2,fs,b3,2.78,1.94,1.36,0.61,11.2
bosa,fs,b3,1.92,1.92,0.37,1.39,10
sesc2,s,b3,5.68,4.58,0.95,2.3,19.9
chla5,s,b3,1.87,0.62,0.41,0.62,2.5
agsc5,s,b2,3.81,3.21,1.11,1.04,9.8
chla5,fs,b2,7.86,2.87,1.68,2.04,10.7
ercu2,fs,b2,3.58,2.67,1.39,1.41,4.3
elvi3,s,b2,1.39,1.01,0.78,0.17,3
pimi,fs,b2,0.95,0.61,0.38,0.28,1.9
ante2,s,b2,1.23,0.59,0.62,0.17,1.8
bogr2,s,b2,1.78,0.42,0.63,0.26,2.9
elvi3,fs,b2,6.27,6.17,3.49,2.06,6.3
bogr2,fs,b2,6.41,4.26,2.83,1.34,11.9
ante2,fs,b2,3.25,2.51,1.31,0.9,5
feru2,s,b2,0.69,0.53,0.35,0.11,3.1
pimi,s,b2,1.35,0.45,0.44,0.26,2.3
feru2,fs,b2,5.2,3.73,2.55,1.2,7.5
nete,fs,b2,1.18,0.88,0.61,0.34,3.7
agsc5,fs,b2,1.48,0.51,0.59,0.16,2.5
ercu2,s,b2,2.48,2.11,1.32,1,2.1
sesc2,s,b2,9,7.42,2.24,3.68,13.9
navi4,s,b2,1.38,0.65,0.51,0.24,3.7
sesc2,fs,b2,7.03,4.89,1.24,2.59,20.7
poco,fs,b2,6.08,3.52,2.83,0.66,19.2
chla5,s,b2,2.24,1.31,0.59,0.91,4.5
poco,s,b2,3.15,2.45,1.54,0.45,6.4
bosa,s,b2,4.2,3.84,0.8,1.39,6.8
paha,s,b2,3.3,2.69,0.85,0.99,11
arpu9,s,b2,0.85,0.57,0.38,0.18,1.9
navi4,fs,b2,1.45,1.45,0.9,0.45,3.6
dica8,fs,b2,11.96,11.58,1.85,6.8,28.4
pava2,s,b2,0.97,0.94,0.51,0.32,2.5
bosa,fs,b2,2.5,2.5,0.52,1.62,7.7
paha,fs,b2,4.25,4.14,1.49,1.99,18.6
arpu9,fs,b2,5,5,1.17,3.28,4.7
dica8,s,b2,1.95,1.93,0.31,0.96,9.4
pava2,fs,b2,3.75,3.58,1.55,1.61,7.4
navi4,fs,b5,2.28,2,1.23,0.58,0.9
poco,s,b5,3.89,3.22,1.87,1.2,7.7
ante2,s,b5,2.81,1.1,0.91,0.38,2.6
feru2,s,b5,1.46,0.54,0.63,0.08,1.4
bogr2,s,b5,1.06,0.36,0.41,0.14,2.5
ercu2,fs,b5,5.28,4.26,2.28,1.83,5.5
bogr2,fs,b5,3.13,1.99,1.42,0.79,8.6
navi4,s,b5,1.65,0.98,0.63,0.33,2
poco,fs,b5,3.18,2.16,1.98,0.42,12.7
pimi,s,b5,1.21,0.52,0.47,0.18,3.4
ercu2,s,b5,2.8,2.05,1.69,0.73,4.5
paha,fs,b5,5.15,4.72,1.08,2.31,14.2
elvi3,s,b5,7.83,4.24,3.24,1.11,5
paha,s,b5,5.6,4.29,1,1.83,9.5
bosa,fs,b5,4.85,3.98,0.89,1.72,28.4
bosa,s,b5,4.65,4.39,0.81,1.67,10.5
arpu9,s,b5,0.62,0.41,0.23,0.16,0.7
sesc2,fs,b5,7.59,5.39,1.67,3.09,23.2
chla5,s,b5,0.97,0.34,0.19,0.29,0.8
chla5,fs,b5,3.4,1.84,0.86,1.25,8.9
arpu9,fs,b5,2.83,2.31,0.81,1.32,6.7
agsc5,fs,b5,1.17,0.97,0.62,0.23,1.7
agsc5,s,b5,0.91,0.56,0.53,0.09,0.6
pava2,s,b5,0.58,0.58,0.3,0.23,0.6
nete,fs,b5,0.28,0.28,0.16,0.1,0.4
nete,s,b5,0.16,0.12,0.07,0.04,0.1
feru2,fs,b5,2.55,2.14,1.47,0.56,3.5
pimi,fs,b5,1.3,0.92,0.56,0.33,4.4
ante2,fs,b5,4.3,3.93,1.35,1.75,7.6
dica8,s,b5,4.6,4.24,0.58,1.79,13.4
elvi3,fs,b5,3.69,3.69,1.6,1.2,3.4
dica8,fs,b5,7.24,7.17,1.37,4.43,14
sesc2,s,b5,5.67,5.56,0.95,1.63,9.5
pava2,fs,b5,1.62,1.62,0.7,0.82,1.6
navi4,s,b1,3.16,1.73,1.45,0.52,3.2
elvi3,s,b1,7.79,4.38,2.69,1.84,6.7
chla5,s,b1,3.66,1.48,1.08,0.88,10.1
dica8,fs,b1,5.09,4.66,0.89,2.51,23.6
ante2,fs,b1,5.3,4.56,1.58,1.67,17.8
ercu2,s,b1,4.86,2.31,1.97,1.08,5.6
sesc2,s,b1,9.73,6.87,1.49,3.47,8.2
agsc5,fs,b1,1.16,1.03,0.76,0.15,1.6
dica8,s,b1,4.02,2.97,0.57,1.38,14.7
poco,s,b1,2.49,1.3,1.26,0.47,4.9
pimi,s,b1,1.55,0.66,0.73,0.19,2.1
paha,fs,b1,7.55,6.11,1.92,3.02,9.9
bogr2,fs,b1,3.51,2.29,1.71,0.91,4.3
paha,s,b1,2.21,1.79,0.51,0.77,5.3
arpu9,s,b1,2.25,1.53,0.89,0.57,4.8
feru2,s,b1,2.82,1.41,1.65,0.47,9
poco,fs,b1,3.4,2.3,1.77,0.59,5.5
feru2,fs,b1,2.49,1.59,1.39,0.64,10.2
agsc5,s,b1,0.63,0.41,0.39,0.07,0.3
nete,s,b1,0.35,0.24,0.2,0.06,1
pava2,s,b1,1.53,1.13,0.73,0.47,3.2
ante2,s,b1,1.43,0.93,0.63,0.29,1.6
bogr2,s,b1,1.11,0.46,0.42,0.24,1.3
pimi,fs,b1,2.56,1.56,1.29,0.55,5.8
ercu2,fs,b1,7.96,5.98,3.24,3,3.9
bosa,fs,b1,2.26,2.19,0.42,1.45,4.9
bosa,s,b1,2.44,2.38,0.37,0.97,4.7
pava2,fs,b1,1.18,1.18,0.68,0.45,0.8
elvi3,fs,b1,3.23,3.23,1.53,1.28,3.6
arpu9,fs,b1,1.94,1.94,0.7,1.19,1
chla5,fs,b1,1.45,1.45,0.68,0.64,5.6
navi4,fs,b1,2.12,2.1,1.54,0.45,1.2
nete,fs,b1,0.35,0.35,0.24,0.09,0.2
sesc2,fs,b1,6.38,6.38,1.79,4.31,13.3
