"Plot Title: 0CM-190430"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282986, SEN S/N: 1282986)","Started (LGR S/N: 1282986)","Host Connected (LGR S/N: 1282986)","Stopped (LGR S/N: 1282986)","End Of File (LGR S/N: 1282986)"
1,04/30/19 01:01:19 PM,18.25,Logged,,,
2,04/30/19 01:01:20 PM,18.25,,,,
3,04/30/19 01:01:21 PM,18.25,,,,
4,04/30/19 01:01:22 PM,18.25,,,,
5,04/30/19 01:01:23 PM,18.25,,,,
6,04/30/19 01:01:24 PM,18.25,,,,
7,04/30/19 01:01:25 PM,17.91,,,,
8,04/30/19 01:01:26 PM,17.91,,,,
9,04/30/19 01:01:27 PM,17.91,,,,
10,04/30/19 01:01:28 PM,17.91,,,,
11,04/30/19 01:01:29 PM,17.91,,,,
12,04/30/19 01:01:30 PM,17.91,,,,
13,04/30/19 01:01:31 PM,17.91,,,,
14,04/30/19 01:01:32 PM,18.25,,,,
15,04/30/19 01:01:33 PM,17.91,,,,
16,04/30/19 01:01:34 PM,17.91,,,,
17,04/30/19 01:01:35 PM,17.91,,,,
18,04/30/19 01:01:36 PM,17.91,,,,
19,04/30/19 01:01:37 PM,17.91,,,,
20,04/30/19 01:01:38 PM,17.91,,,,
21,04/30/19 01:01:39 PM,17.91,,,,
22,04/30/19 01:01:40 PM,17.91,,,,
23,04/30/19 01:01:41 PM,17.91,,,,
24,04/30/19 01:01:42 PM,17.91,,,,
25,04/30/19 01:01:43 PM,17.91,,,,
26,04/30/19 01:01:44 PM,17.91,,,,
27,04/30/19 01:01:45 PM,17.91,,,,
28,04/30/19 01:01:46 PM,17.91,,,,
29,04/30/19 01:01:47 PM,17.91,,,,
30,04/30/19 01:01:48 PM,17.91,,,,
31,04/30/19 01:01:49 PM,17.91,,,,
32,04/30/19 01:01:50 PM,17.91,,,,
33,04/30/19 01:01:51 PM,17.91,,,,
34,04/30/19 01:01:52 PM,17.91,,,,
35,04/30/19 01:01:53 PM,17.91,,,,
36,04/30/19 01:01:54 PM,17.91,,,,
37,04/30/19 01:01:55 PM,17.91,,,,
38,04/30/19 01:01:56 PM,17.91,,,,
39,04/30/19 01:01:57 PM,17.91,,,,
40,04/30/19 01:01:58 PM,17.91,,,,
41,04/30/19 01:01:59 PM,17.91,,,,
42,04/30/19 01:02:00 PM,17.91,,,,
43,04/30/19 01:02:01 PM,17.91,,,,
44,04/30/19 01:02:02 PM,17.91,,,,
45,04/30/19 01:02:03 PM,17.91,,,,
46,04/30/19 01:02:04 PM,17.57,,,,
47,04/30/19 01:02:05 PM,17.91,,,,
48,04/30/19 01:02:06 PM,17.91,,,,
49,04/30/19 01:02:07 PM,17.91,,,,
50,04/30/19 01:02:08 PM,17.57,,,,
51,04/30/19 01:02:09 PM,17.91,,,,
52,04/30/19 01:02:10 PM,17.57,,,,
53,04/30/19 01:02:11 PM,17.57,,,,
54,04/30/19 01:02:12 PM,17.91,,,,
55,04/30/19 01:02:13 PM,17.91,,,,
56,04/30/19 01:02:14 PM,17.57,,,,
57,04/30/19 01:02:15 PM,17.57,,,,
58,04/30/19 01:02:16 PM,17.57,,,,
59,04/30/19 01:02:17 PM,17.57,,,,
60,04/30/19 01:02:18 PM,17.57,,,,
61,04/30/19 01:02:19 PM,17.91,,,,
62,04/30/19 01:02:20 PM,17.57,,,,
63,04/30/19 01:02:21 PM,17.57,,,,
64,04/30/19 01:02:22 PM,17.57,,,,
65,04/30/19 01:02:23 PM,17.57,,,,
66,04/30/19 01:02:24 PM,17.57,,,,
67,04/30/19 01:02:25 PM,17.57,,,,
68,04/30/19 01:02:26 PM,17.57,,,,
69,04/30/19 01:02:27 PM,17.57,,,,
70,04/30/19 01:02:28 PM,17.57,,,,
71,04/30/19 01:02:29 PM,17.57,,,,
72,04/30/19 01:02:30 PM,17.57,,,,
73,04/30/19 01:02:31 PM,17.57,,,,
74,04/30/19 01:02:32 PM,17.57,,,,
75,04/30/19 01:02:33 PM,17.57,,,,
76,04/30/19 01:02:34 PM,17.57,,,,
77,04/30/19 01:02:35 PM,17.57,,,,
78,04/30/19 01:02:36 PM,17.57,,,,
79,04/30/19 01:02:37 PM,17.57,,,,
80,04/30/19 01:02:38 PM,17.57,,,,
81,04/30/19 01:02:39 PM,17.57,,,,
82,04/30/19 01:02:40 PM,17.57,,,,
83,04/30/19 01:02:41 PM,17.57,,,,
84,04/30/19 01:02:42 PM,17.57,,,,
85,04/30/19 01:02:43 PM,17.57,,,,
86,04/30/19 01:02:44 PM,17.57,,,,
87,04/30/19 01:02:45 PM,17.57,,,,
88,04/30/19 01:02:46 PM,17.57,,,,
89,04/30/19 01:02:47 PM,17.57,,,,
90,04/30/19 01:02:48 PM,17.57,,,,
91,04/30/19 01:02:49 PM,17.57,,,,
92,04/30/19 01:02:50 PM,17.57,,,,
93,04/30/19 01:02:51 PM,17.57,,,,
94,04/30/19 01:02:52 PM,17.57,,,,
95,04/30/19 01:02:53 PM,17.57,,,,
96,04/30/19 01:02:54 PM,17.57,,,,
97,04/30/19 01:02:55 PM,17.57,,,,
98,04/30/19 01:02:56 PM,17.57,,,,
99,04/30/19 01:02:57 PM,17.57,,,,
100,04/30/19 01:02:58 PM,17.57,,,,
101,04/30/19 01:02:59 PM,17.57,,,,
102,04/30/19 01:03:00 PM,17.57,,,,
103,04/30/19 01:03:01 PM,17.57,,,,
104,04/30/19 01:03:02 PM,17.91,,,,
105,04/30/19 01:03:03 PM,17.57,,,,
106,04/30/19 01:03:04 PM,17.57,,,,
107,04/30/19 01:03:05 PM,17.57,,,,
108,04/30/19 01:03:06 PM,17.57,,,,
109,04/30/19 01:03:07 PM,17.91,,,,
110,04/30/19 01:03:08 PM,17.91,,,,
111,04/30/19 01:03:09 PM,17.57,,,,
112,04/30/19 01:03:10 PM,17.91,,,,
113,04/30/19 01:03:11 PM,17.57,,,,
114,04/30/19 01:03:12 PM,17.57,,,,
115,04/30/19 01:03:13 PM,17.57,,,,
116,04/30/19 01:03:14 PM,17.91,,,,
117,04/30/19 01:03:15 PM,17.91,,,,
118,04/30/19 01:03:16 PM,17.91,,,,
119,04/30/19 01:03:17 PM,17.91,,,,
120,04/30/19 01:03:18 PM,17.57,,,,
121,04/30/19 01:03:19 PM,17.91,,,,
122,04/30/19 01:03:20 PM,17.91,,,,
123,04/30/19 01:03:21 PM,17.57,,,,
124,04/30/19 01:03:22 PM,17.57,,,,
125,04/30/19 01:03:23 PM,17.57,,,,
126,04/30/19 01:03:24 PM,17.91,,,,
127,04/30/19 01:03:25 PM,17.91,,,,
128,04/30/19 01:03:26 PM,17.57,,,,
129,04/30/19 01:03:27 PM,17.57,,,,
130,04/30/19 01:03:28 PM,17.57,,,,
131,04/30/19 01:03:29 PM,17.57,,,,
132,04/30/19 01:03:30 PM,17.91,,,,
133,04/30/19 01:03:31 PM,17.91,,,,
134,04/30/19 01:03:32 PM,17.91,,,,
135,04/30/19 01:03:33 PM,17.91,,,,
136,04/30/19 01:03:34 PM,17.91,,,,
137,04/30/19 01:03:35 PM,17.57,,,,
138,04/30/19 01:03:36 PM,17.91,,,,
139,04/30/19 01:03:37 PM,17.57,,,,
140,04/30/19 01:03:38 PM,17.91,,,,
141,04/30/19 01:03:39 PM,17.57,,,,
142,04/30/19 01:03:40 PM,17.91,,,,
143,04/30/19 01:03:41 PM,17.91,,,,
144,04/30/19 01:03:42 PM,17.91,,,,
145,04/30/19 01:03:43 PM,17.91,,,,
146,04/30/19 01:03:44 PM,17.57,,,,
147,04/30/19 01:03:45 PM,17.57,,,,
148,04/30/19 01:03:46 PM,17.57,,,,
149,04/30/19 01:03:47 PM,17.57,,,,
150,04/30/19 01:03:48 PM,17.57,,,,
151,04/30/19 01:03:49 PM,17.57,,,,
152,04/30/19 01:03:50 PM,17.91,,,,
153,04/30/19 01:03:51 PM,17.91,,,,
154,04/30/19 01:03:52 PM,17.91,,,,
155,04/30/19 01:03:53 PM,17.91,,,,
156,04/30/19 01:03:54 PM,17.91,,,,
157,04/30/19 01:03:55 PM,18.25,,,,
158,04/30/19 01:03:56 PM,18.25,,,,
159,04/30/19 01:03:57 PM,18.25,,,,
160,04/30/19 01:03:58 PM,18.25,,,,
161,04/30/19 01:03:59 PM,18.25,,,,
162,04/30/19 01:04:00 PM,18.25,,,,
163,04/30/19 01:04:01 PM,18.25,,,,
164,04/30/19 01:04:02 PM,18.25,,,,
165,04/30/19 01:04:03 PM,18.25,,,,
166,04/30/19 01:04:04 PM,18.25,,,,
167,04/30/19 01:04:05 PM,18.25,,,,
168,04/30/19 01:04:06 PM,18.25,,,,
169,04/30/19 01:04:07 PM,18.25,,,,
170,04/30/19 01:04:08 PM,18.25,,,,
171,04/30/19 01:04:09 PM,18.25,,,,
172,04/30/19 01:04:10 PM,18.25,,,,
173,04/30/19 01:04:11 PM,18.25,,,,
174,04/30/19 01:04:12 PM,18.25,,,,
175,04/30/19 01:04:13 PM,18.25,,,,
176,04/30/19 01:04:14 PM,18.25,,,,
177,04/30/19 01:04:15 PM,18.25,,,,
178,04/30/19 01:04:16 PM,18.25,,,,
179,04/30/19 01:04:17 PM,18.25,,,,
180,04/30/19 01:04:18 PM,18.25,,,,
181,04/30/19 01:04:19 PM,18.25,,,,
182,04/30/19 01:04:20 PM,18.25,,,,
183,04/30/19 01:04:21 PM,18.25,,,,
184,04/30/19 01:04:22 PM,18.25,,,,
185,04/30/19 01:04:23 PM,18.25,,,,
186,04/30/19 01:04:24 PM,18.25,,,,
187,04/30/19 01:04:25 PM,18.25,,,,
188,04/30/19 01:04:26 PM,18.25,,,,
189,04/30/19 01:04:27 PM,18.25,,,,
190,04/30/19 01:04:28 PM,18.25,,,,
191,04/30/19 01:04:29 PM,18.25,,,,
192,04/30/19 01:04:30 PM,18.25,,,,
193,04/30/19 01:04:31 PM,18.25,,,,
194,04/30/19 01:04:32 PM,18.25,,,,
195,04/30/19 01:04:33 PM,18.25,,,,
196,04/30/19 01:04:34 PM,18.25,,,,
197,04/30/19 01:04:35 PM,18.25,,,,
198,04/30/19 01:04:36 PM,18.25,,,,
199,04/30/19 01:04:37 PM,18.25,,,,
200,04/30/19 01:04:38 PM,18.25,,,,
201,04/30/19 01:04:39 PM,18.25,,,,
202,04/30/19 01:04:40 PM,18.25,,,,
203,04/30/19 01:04:41 PM,18.25,,,,
204,04/30/19 01:04:42 PM,18.25,,,,
205,04/30/19 01:04:43 PM,18.25,,,,
206,04/30/19 01:04:44 PM,18.25,,,,
207,04/30/19 01:04:45 PM,17.91,,,,
208,04/30/19 01:04:46 PM,18.25,,,,
209,04/30/19 01:04:47 PM,18.25,,,,
210,04/30/19 01:04:48 PM,18.25,,,,
211,04/30/19 01:04:49 PM,18.25,,,,
212,04/30/19 01:04:50 PM,18.25,,,,
213,04/30/19 01:04:51 PM,18.25,,,,
214,04/30/19 01:04:52 PM,18.25,,,,
215,04/30/19 01:04:53 PM,18.25,,,,
216,04/30/19 01:04:54 PM,18.25,,,,
217,04/30/19 01:04:55 PM,18.25,,,,
218,04/30/19 01:04:56 PM,18.25,,,,
219,04/30/19 01:04:57 PM,18.25,,,,
220,04/30/19 01:04:58 PM,18.25,,,,
221,04/30/19 01:04:59 PM,18.25,,,,
222,04/30/19 01:05:00 PM,18.25,,,,
223,04/30/19 01:05:01 PM,18.25,,,,
224,04/30/19 01:05:02 PM,18.25,,,,
225,04/30/19 01:05:03 PM,18.25,,,,
226,04/30/19 01:05:04 PM,17.91,,,,
227,04/30/19 01:05:05 PM,18.25,,,,
228,04/30/19 01:05:06 PM,18.25,,,,
229,04/30/19 01:05:07 PM,17.91,,,,
230,04/30/19 01:05:08 PM,18.25,,,,
231,04/30/19 01:05:09 PM,18.25,,,,
232,04/30/19 01:05:10 PM,18.25,,,,
233,04/30/19 01:05:11 PM,18.25,,,,
234,04/30/19 01:05:12 PM,18.25,,,,
235,04/30/19 01:05:13 PM,17.91,,,,
236,04/30/19 01:05:14 PM,17.91,,,,
237,04/30/19 01:05:15 PM,17.91,,,,
238,04/30/19 01:05:16 PM,18.25,,,,
239,04/30/19 01:05:17 PM,17.91,,,,
240,04/30/19 01:05:18 PM,17.91,,,,
241,04/30/19 01:05:19 PM,17.91,,,,
242,04/30/19 01:05:20 PM,17.91,,,,
243,04/30/19 01:05:21 PM,17.91,,,,
244,04/30/19 01:05:22 PM,17.91,,,,
245,04/30/19 01:05:23 PM,17.91,,,,
246,04/30/19 01:05:24 PM,17.91,,,,
247,04/30/19 01:05:25 PM,17.91,,,,
248,04/30/19 01:05:26 PM,17.91,,,,
249,04/30/19 01:05:27 PM,17.91,,,,
250,04/30/19 01:05:28 PM,17.91,,,,
251,04/30/19 01:05:29 PM,17.91,,,,
252,04/30/19 01:05:30 PM,17.91,,,,
253,04/30/19 01:05:31 PM,17.91,,,,
254,04/30/19 01:05:32 PM,17.91,,,,
255,04/30/19 01:05:33 PM,17.91,,,,
256,04/30/19 01:05:34 PM,17.91,,,,
257,04/30/19 01:05:35 PM,17.91,,,,
258,04/30/19 01:05:36 PM,17.91,,,,
259,04/30/19 01:05:37 PM,17.91,,,,
260,04/30/19 01:05:38 PM,17.91,,,,
261,04/30/19 01:05:39 PM,17.91,,,,
262,04/30/19 01:05:40 PM,17.91,,,,
263,04/30/19 01:05:41 PM,17.91,,,,
264,04/30/19 01:05:42 PM,17.91,,,,
265,04/30/19 01:05:43 PM,17.91,,,,
266,04/30/19 01:05:44 PM,17.91,,,,
267,04/30/19 01:05:45 PM,17.91,,,,
268,04/30/19 01:05:46 PM,17.91,,,,
269,04/30/19 01:05:47 PM,17.91,,,,
270,04/30/19 01:05:48 PM,17.91,,,,
271,04/30/19 01:05:49 PM,17.91,,,,
272,04/30/19 01:05:50 PM,17.91,,,,
273,04/30/19 01:05:51 PM,17.91,,,,
274,04/30/19 01:05:52 PM,17.91,,,,
275,04/30/19 01:05:53 PM,17.91,,,,
276,04/30/19 01:05:54 PM,17.91,,,,
277,04/30/19 01:05:55 PM,17.91,,,,
278,04/30/19 01:05:56 PM,17.91,,,,
279,04/30/19 01:05:57 PM,17.91,,,,
280,04/30/19 01:05:58 PM,17.91,,,,
281,04/30/19 01:05:59 PM,17.91,,,,
282,04/30/19 01:06:00 PM,17.91,,,,
283,04/30/19 01:06:01 PM,17.91,,,,
284,04/30/19 01:06:02 PM,17.91,,,,
285,04/30/19 01:06:03 PM,17.91,,,,
286,04/30/19 01:06:04 PM,17.91,,,,
287,04/30/19 01:06:05 PM,17.91,,,,
288,04/30/19 01:06:06 PM,17.91,,,,
289,04/30/19 01:06:07 PM,17.91,,,,
290,04/30/19 01:06:08 PM,17.91,,,,
291,04/30/19 01:06:09 PM,17.91,,,,
292,04/30/19 01:06:10 PM,17.91,,,,
293,04/30/19 01:06:11 PM,17.91,,,,
294,04/30/19 01:06:12 PM,17.91,,,,
295,04/30/19 01:06:13 PM,17.91,,,,
296,04/30/19 01:06:14 PM,17.91,,,,
297,04/30/19 01:06:15 PM,17.91,,,,
298,04/30/19 01:06:16 PM,17.91,,,,
299,04/30/19 01:06:17 PM,17.91,,,,
300,04/30/19 01:06:18 PM,17.91,,,,
301,04/30/19 01:06:19 PM,17.91,,,,
302,04/30/19 01:06:20 PM,17.91,,,,
303,04/30/19 01:06:21 PM,17.91,,,,
304,04/30/19 01:06:22 PM,17.91,,,,
