"Plot Title: 100CM-190508"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247367, SEN S/N: 2247367)","Started (LGR S/N: 2247367)","Button Down (LGR S/N: 2247367)","Button Up (LGR S/N: 2247367)","Host Connected (LGR S/N: 2247367)","Stopped (LGR S/N: 2247367)","End Of File (LGR S/N: 2247367)"
1,05/08/19 09:17:56 AM,34.34,Logged,,,,,
2,05/08/19 09:17:57 AM,28.00,,,,,,
3,05/08/19 09:17:58 AM,25.65,,,,,,
4,05/08/19 09:17:59 AM,24.65,,,,,,
5,05/08/19 09:18:00 AM,23.30,,,,,,
6,05/08/19 09:18:01 AM,24.98,,,,,,
7,05/08/19 09:18:02 AM,24.65,,,,,,
8,05/08/19 09:18:03 AM,23.64,,,,,,
9,05/08/19 09:18:04 AM,23.98,,,,,,
10,05/08/19 09:18:05 AM,29.34,,,,,,
11,05/08/19 09:18:06 AM,23.98,,,,,,
12,05/08/19 09:18:07 AM,24.65,,,,,,
13,05/08/19 09:18:08 AM,17.57,,,,,,
14,05/08/19 09:18:09 AM,27.00,,,,,,
15,05/08/19 09:18:10 AM,23.64,,,,,,
16,05/08/19 09:18:11 AM,20.27,,,,,,
17,05/08/19 09:18:12 AM,27.67,,,,,,
18,05/08/19 09:18:13 AM,23.98,,,,,,
19,05/08/19 09:18:14 AM,24.31,,,,,,
20,05/08/19 09:18:15 AM,23.98,,,,,,
21,05/08/19 09:18:16 AM,23.98,,,,,,
22,05/08/19 09:18:17 AM,23.64,,,,,,
23,05/08/19 09:18:18 AM,23.64,,,,,,
24,05/08/19 09:18:19 AM,24.31,,,,,,
25,05/08/19 09:18:20 AM,23.98,,,,,,
26,05/08/19 09:18:21 AM,23.98,,,,,,
27,05/08/19 09:18:22 AM,23.98,,,,,,
28,05/08/19 09:18:23 AM,23.98,,,,,,
29,05/08/19 09:18:24 AM,24.31,,,,,,
30,05/08/19 09:18:25 AM,23.98,,,,,,
31,05/08/19 09:18:26 AM,24.31,,,,,,
32,05/08/19 09:18:27 AM,23.98,,,,,,
33,05/08/19 09:18:28 AM,23.98,,,,,,
34,05/08/19 09:18:29 AM,23.98,,,,,,
35,05/08/19 09:18:30 AM,23.98,,,,,,
36,05/08/19 09:18:31 AM,24.31,,,,,,
37,05/08/19 09:18:32 AM,24.31,,,,,,
38,05/08/19 09:18:33 AM,23.98,,,,,,
39,05/08/19 09:18:34 AM,23.98,,,,,,
40,05/08/19 09:18:35 AM,23.98,,,,,,
41,05/08/19 09:18:36 AM,23.98,,,,,,
42,05/08/19 09:18:37 AM,23.98,,,,,,
43,05/08/19 09:18:38 AM,23.98,,,,,,
44,05/08/19 09:18:39 AM,24.31,,,,,,
45,05/08/19 09:18:40 AM,24.31,,,,,,
46,05/08/19 09:18:41 AM,24.31,,,,,,
47,05/08/19 09:18:42 AM,23.98,,,,,,
48,05/08/19 09:18:43 AM,24.31,,,,,,
49,05/08/19 09:18:44 AM,23.98,,,,,,
50,05/08/19 09:18:45 AM,24.31,,,,,,
51,05/08/19 09:18:46 AM,23.98,,,,,,
52,05/08/19 09:18:47 AM,23.98,,,,,,
53,05/08/19 09:18:48 AM,23.98,,,,,,
54,05/08/19 09:18:49 AM,24.31,,,,,,
55,05/08/19 09:18:50 AM,24.31,,,,,,
56,05/08/19 09:18:51 AM,23.98,,,,,,
57,05/08/19 09:18:52 AM,23.98,,,,,,
58,05/08/19 09:18:53 AM,24.31,,,,,,
59,05/08/19 09:18:54 AM,23.98,,,,,,
60,05/08/19 09:18:55 AM,23.98,,,,,,
61,05/08/19 09:18:56 AM,24.31,,,,,,
62,05/08/19 09:18:57 AM,24.31,,,,,,
63,05/08/19 09:18:58 AM,23.98,,,,,,
64,05/08/19 09:18:59 AM,24.31,,,,,,
65,05/08/19 09:19:00 AM,23.98,,,,,,
66,05/08/19 09:19:01 AM,23.98,,,,,,
67,05/08/19 09:19:02 AM,23.98,,,,,,
68,05/08/19 09:19:03 AM,23.98,,,,,,
69,05/08/19 09:19:04 AM,24.31,,,,,,
70,05/08/19 09:19:05 AM,24.31,,,,,,
71,05/08/19 09:19:06 AM,24.31,,,,,,
72,05/08/19 09:19:07 AM,24.31,,,,,,
73,05/08/19 09:19:08 AM,23.98,,,,,,
74,05/08/19 09:19:09 AM,24.31,,,,,,
75,05/08/19 09:19:10 AM,24.31,,,,,,
76,05/08/19 09:19:11 AM,23.98,,,,,,
77,05/08/19 09:19:12 AM,24.31,,,,,,
78,05/08/19 09:19:13 AM,24.31,,,,,,
