"Plot Title: 100CM-180705"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247367, SEN S/N: 2247367)","Started (LGR S/N: 2247367)","Button Down (LGR S/N: 2247367)","Button Up (LGR S/N: 2247367)","Host Connected (LGR S/N: 2247367)","Stopped (LGR S/N: 2247367)","End Of File (LGR S/N: 2247367)"
1,07/05/18 12:14:26 PM,29.67,Logged,,,,,
2,07/05/18 12:14:27 PM,29.67,,,,,,
3,07/05/18 12:14:28 PM,29.67,,,,,,
4,07/05/18 12:14:29 PM,29.01,,,,,,
5,07/05/18 12:14:30 PM,28.67,,,,,,
6,07/05/18 12:14:31 PM,29.01,,,,,,
7,07/05/18 12:14:32 PM,28.67,,,,,,
8,07/05/18 12:14:33 PM,28.67,,,,,,
9,07/05/18 12:14:34 PM,28.67,,,,,,
10,07/05/18 12:14:35 PM,28.67,,,,,,
11,07/05/18 12:14:36 PM,28.67,,,,,,
12,07/05/18 12:14:37 PM,29.34,,,,,,
13,07/05/18 12:14:38 PM,31.01,,,,,,
14,07/05/18 12:14:39 PM,31.68,,,,,,
15,07/05/18 12:14:40 PM,32.35,,,,,,
16,07/05/18 12:14:41 PM,31.34,,,,,,
17,07/05/18 12:14:42 PM,31.01,,,,,,
18,07/05/18 12:14:43 PM,30.68,,,,,,
19,07/05/18 12:14:44 PM,30.68,,,,,,
20,07/05/18 12:14:45 PM,30.34,,,,,,
21,07/05/18 12:14:46 PM,30.34,,,,,,
22,07/05/18 12:14:47 PM,30.01,,,,,,
23,07/05/18 12:14:48 PM,30.01,,,,,,
24,07/05/18 12:14:49 PM,30.01,,,,,,
25,07/05/18 12:14:50 PM,29.67,,,,,,
26,07/05/18 12:14:51 PM,30.01,,,,,,
27,07/05/18 12:14:52 PM,29.67,,,,,,
28,07/05/18 12:14:53 PM,29.34,,,,,,
29,07/05/18 12:14:54 PM,29.34,,,,,,
30,07/05/18 12:14:55 PM,29.34,,,,,,
31,07/05/18 12:14:56 PM,30.01,,,,,,
32,07/05/18 12:14:57 PM,29.34,,,,,,
33,07/05/18 12:14:58 PM,29.34,,,,,,
34,07/05/18 12:14:59 PM,29.67,,,,,,
35,07/05/18 12:15:00 PM,30.34,,,,,,
36,07/05/18 12:15:01 PM,30.34,,,,,,
37,07/05/18 12:15:02 PM,30.34,,,,,,
38,07/05/18 12:15:03 PM,30.01,,,,,,
39,07/05/18 12:15:04 PM,30.01,,,,,,
40,07/05/18 12:15:05 PM,30.01,,,,,,
41,07/05/18 12:15:06 PM,30.01,,,,,,
42,07/05/18 12:15:07 PM,30.01,,,,,,
43,07/05/18 12:15:08 PM,29.67,,,,,,
44,07/05/18 12:15:09 PM,29.67,,,,,,
45,07/05/18 12:15:10 PM,30.01,,,,,,
46,07/05/18 12:15:11 PM,30.01,,,,,,
47,07/05/18 12:15:12 PM,30.01,,,,,,
48,07/05/18 12:15:13 PM,29.67,,,,,,
49,07/05/18 12:15:14 PM,29.67,,,,,,
50,07/05/18 12:15:15 PM,30.01,,,,,,
