"Plot Title: 10CM-180705"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247366, SEN S/N: 2247366)","Started (LGR S/N: 2247366)","Host Connected (LGR S/N: 2247366)","Stopped (LGR S/N: 2247366)","End Of File (LGR S/N: 2247366)"
1,07/05/18 12:09:41 PM,27.67,Logged,,,
2,07/05/18 12:09:42 PM,27.67,,,,
3,07/05/18 12:09:43 PM,27.67,,,,
4,07/05/18 12:09:44 PM,27.67,,,,
5,07/05/18 12:09:45 PM,27.67,,,,
6,07/05/18 12:09:46 PM,27.67,,,,
7,07/05/18 12:09:47 PM,27.67,,,,
8,07/05/18 12:09:48 PM,27.67,,,,
9,07/05/18 12:09:49 PM,27.67,,,,
10,07/05/18 12:09:50 PM,27.67,,,,
11,07/05/18 12:09:51 PM,27.67,,,,
12,07/05/18 12:09:52 PM,27.67,,,,
13,07/05/18 12:09:53 PM,27.67,,,,
14,07/05/18 12:09:54 PM,27.67,,,,
15,07/05/18 12:09:55 PM,27.67,,,,
16,07/05/18 12:09:56 PM,27.67,,,,
17,07/05/18 12:09:57 PM,27.67,,,,
18,07/05/18 12:09:58 PM,27.67,,,,
19,07/05/18 12:09:59 PM,27.67,,,,
20,07/05/18 12:10:00 PM,27.67,,,,
21,07/05/18 12:10:01 PM,27.67,,,,
22,07/05/18 12:10:02 PM,27.67,,,,
23,07/05/18 12:10:03 PM,27.67,,,,
24,07/05/18 12:10:04 PM,27.67,,,,
25,07/05/18 12:10:05 PM,27.67,,,,
26,07/05/18 12:10:06 PM,27.67,,,,
27,07/05/18 12:10:07 PM,27.67,,,,
28,07/05/18 12:10:08 PM,28.00,,,,
29,07/05/18 12:10:09 PM,27.67,,,,
30,07/05/18 12:10:10 PM,27.67,,,,
31,07/05/18 12:10:11 PM,27.67,,,,
32,07/05/18 12:10:12 PM,27.67,,,,
33,07/05/18 12:10:13 PM,28.00,,,,
34,07/05/18 12:10:14 PM,28.00,,,,
35,07/05/18 12:10:15 PM,27.67,,,,
36,07/05/18 12:10:16 PM,27.67,,,,
37,07/05/18 12:10:17 PM,28.00,,,,
38,07/05/18 12:10:18 PM,27.67,,,,
39,07/05/18 12:10:19 PM,28.00,,,,
40,07/05/18 12:10:20 PM,27.67,,,,
41,07/05/18 12:10:21 PM,27.67,,,,
42,07/05/18 12:10:22 PM,28.00,,,,
43,07/05/18 12:10:23 PM,28.00,,,,
44,07/05/18 12:10:24 PM,28.00,,,,
45,07/05/18 12:10:25 PM,28.00,,,,
46,07/05/18 12:10:26 PM,28.00,,,,
47,07/05/18 12:10:27 PM,28.00,,,,
48,07/05/18 12:10:28 PM,28.00,,,,
49,07/05/18 12:10:29 PM,28.00,,,,
50,07/05/18 12:10:30 PM,28.00,,,,
51,07/05/18 12:10:31 PM,28.00,,,,
52,07/05/18 12:10:32 PM,28.00,,,,
53,07/05/18 12:10:33 PM,28.00,,,,
54,07/05/18 12:10:34 PM,28.00,,,,
55,07/05/18 12:10:35 PM,28.00,,,,
56,07/05/18 12:10:36 PM,28.00,,,,
57,07/05/18 12:10:37 PM,28.00,,,,
58,07/05/18 12:10:38 PM,28.00,,,,
59,07/05/18 12:10:39 PM,28.00,,,,
60,07/05/18 12:10:40 PM,28.00,,,,
61,07/05/18 12:10:41 PM,28.00,,,,
62,07/05/18 12:10:42 PM,28.00,,,,
63,07/05/18 12:10:43 PM,28.00,,,,
64,07/05/18 12:10:44 PM,28.00,,,,
65,07/05/18 12:10:45 PM,28.00,,,,
66,07/05/18 12:10:46 PM,28.00,,,,
67,07/05/18 12:10:47 PM,28.00,,,,
68,07/05/18 12:10:48 PM,28.00,,,,
69,07/05/18 12:10:49 PM,28.00,,,,
70,07/05/18 12:10:50 PM,28.00,,,,
71,07/05/18 12:10:51 PM,28.00,,,,
72,07/05/18 12:10:52 PM,28.00,,,,
73,07/05/18 12:10:53 PM,28.00,,,,
74,07/05/18 12:10:54 PM,28.00,,,,
75,07/05/18 12:10:55 PM,28.00,,,,
76,07/05/18 12:10:56 PM,28.00,,,,
77,07/05/18 12:10:57 PM,28.00,,,,
78,07/05/18 12:10:58 PM,28.00,,,,
79,07/05/18 12:10:59 PM,28.00,,,,
80,07/05/18 12:11:00 PM,28.00,,,,
81,07/05/18 12:11:01 PM,28.00,,,,
82,07/05/18 12:11:02 PM,28.00,,,,
83,07/05/18 12:11:03 PM,28.00,,,,
84,07/05/18 12:11:04 PM,28.00,,,,
85,07/05/18 12:11:05 PM,28.00,,,,
