spcode,light,block,tiller.num,max.leaflen,tmass.dry,resprout.date
arpu9,fs,b4,0,0,,n/a
ercu2,fs,b4,53,25.6,3.01,3/30/19
agsc5,s,b4,94,6.6,0.49,4/3/19
bogr2,fs,b4,140,15.3,2.48,3/30/19
navi4,s,b4,0,0,,n/a
pava2,fs,b4,0,0,,n/a
sesc2,s,b4,49,20,5.26,4/1/19
ercu2,s,b4,56,42.1,3.97,3/30/19
navi4,fs,b4,0,0,,n/a
sesc2,fs,b4,10,9.5,0.84,4/1/19
arpu9,s,b4,0,0,,n/a
elvi3,fs,b4,0,0,,n/a
bogr2,s,b4,162,26.6,4.74,3/30/19
elvi3,s,b4,3,4.2,,n/a
agsc5,fs,b4,108,13.1,2.84,4/1/19
pava2,s,b4,14,16.5,0.74,4/7/19
dica8,s,b4,52,6.3,1.78,4/21/19
poco,fs,b4,84,9.5,4.11,4/29/19
ante2,fs,b4,31,38.5,4.27,4/22/19
paha,s,b4,4,11.6,0.1,4/21/19
pimi,fs,b4,20,11.6,0.21,4/22/19
feru2,fs,b4,0,0,,n/a
chla5,fs,b4,21,11.8,3.66,4/29/19
nete,fs,b4,0,0,,n/a
dica8,fs,b4,5,4,,
bosa,fs,b4,0,0,,n/a
paha,fs,b4,0,0,,n/a
bosa,s,b4,0,0,,n/a
feru2,s,b4,39,10.9,0.92,4/25/19
nete,s,b4,0,0,,n/a
poco,s,b4,108,9.8,3.61,4/29/19
ante2,s,b4,27,41.2,6.69,4/21/19
pimi,s,b4,86,11.2,1.77,4/21/19
chla5,s,b4,25,9.9,5.53,4/25/19
agsc5,s,b3,123,6.8,1.33,4/29/19
bosa,fs,b3,0,0,,n/a
bogr2,fs,b3,192,19.6,2.96,4/29/19
pava2,s,b3,52,15.4,0.89,4/29/19
ercu2,fs,b3,19,42.8,3.74,4/29/19
paha,fs,b3,0,0,,n/a
elvi3,fs,b3,0,0,,n/a
nete,s,b3,0,0,,n/a
arpu9,s,b3,2,11.2,0.22,4/29/19
ante2,s,b3,18,41.4,3.76,4/29/19
feru2,s,b3,0,0,,n/a
ante2,fs,b3,41,37.9,4.67,4/28/19
ercu2,s,b3,59,30.5,3.8,4/29/19
pava2,fs,b3,0,0,,n/a
elvi3,s,b3,0,0,,n/a
poco,fs,b3,0,0,,n/a
pimi,s,b3,32,14,0.72,4/29/19
feru2,fs,b3,11,4.6,0.24,4/29/19
sesc2,fs,b3,3,9,1.11,4/29/19
pimi,fs,b3,9,8.6,0.1,4/29/19
paha,s,b3,1,14.7,0.2,4/29/19
navi4,fs,b3,0,0,,n/a
dica8,fs,b3,0,0,,n/a
agsc5,fs,b3,0,0,,n/a
arpu9,fs,b3,8,6.7,0.06,4/28/19
sesc2,s,b3,39,15.4,2.54,4/28/19
navi4,s,b3,0,0,,n/a
bosa,s,b3,0,0,,n/a
chla5,fs,b3,32,8.2,1.85,5/7/19
poco,s,b3,60,9.1,1.24,5/2/19
nete,fs,b3,0,0,,n/a
bogr2,s,b3,17,47.9,2.68,4/28/19
dica8,s,b3,18,12.8,1.99,4/29/19
chla5,s,b3,13,13,2.56,4/29/19
agsc5,s,b1,7,4.4,0.04,5/10/19
sesc2,fs,b1,1,10.1,1.83,not recorded
bogr2,fs,b1,202,19.5,2.27,5/10/19
ante2,s,b1,32,27.9,3.59,5/9/19
arpu9,s,b1,0,0,,n/a
agsc5,fs,b1,0,0,,n/a
