spcode,sample,biomass,harvestdate
bogr2,fsb4,5.77,
navi4,fsb4,5.53,
bosa,fsb4,31.54,
pimi,fsb4,2.25,
chla5,fsb4,12.77,
poco,fsb4,11.18,
arpu9,fsb4,9.67,
ante2,fsb4,3.69,
feru2,fsb4,3.61,
navi4,sb3,1.7,
nete,fsb4,1.46,
pimi,sb3,1.67,
paha,sb4,12.16,
navi4,fsb2,9.36,
pifi,fsb2,3.06,
bogr2,sb4,0.37,
chla5,fsb2,17.62,
poco,fsb2,2.8,
agsc5,sb4,0.78,
arpu9,sb4,1.3,
pifi,sb4,2.21,
bosa,sb4,13.69,
elvi3,fsb2,18.28,
ercu2,fsb2,39.02,
nete,fsb2,8.28,
ante2,fsb2,4.8,
feru2,fsb2,12.04,
elvi3,sb2,6.7,
ante2,sb2,4.27,
feru2,sb2,4.13,
nete,sb2,0.4,
bosa,sb2,5.49,
chla5,sb2,1.02,
bogr2,sb2,0.85,
navi4,sb2,1.11,
elvi3,fsb4,22.06,
ercu2,fsb5,27.62,
paha,fsb3,17.25,
bosa,sb3,8.12,
bosa,fsb5,32.22,
poco,sb1,5.74,
bosa,fsb1,10.21,
arpu9,sb3,3.48,
navi4,fsb5,6.18,
sesc2,fsb1,36.33,
dica8,sb1,27.2,
paha,sb1,7.26,
elvi3,fsb5,19.19,
nete,fsb5,2.86,
pava2,fsb1,5.58,
ercu2,sb1,9.76,
pimi,fsb5,5.17,
paha,fsb5,18.13,
sesc2,sb5,10.72,
arpu9,fsb5,21.99,
feru2,sb3,2.22,
bosa,sb5,9.34,
feru2,sb5,3.6,
arpu9,fsb3,5.62,
bogr2,fsb3,11.48,
pava2,fsb3,11.32,
nete,fsb3,11.04,
agsc5,fsb3,3.2,
bosa,fsb3,16.08,
pimi,sb5,3.83,
elvi3,sb5,4.07,
poco,sb5,3.95,
navi4,sb5,1.26,
ercu2,sb5,3.91,
bogr2,sb5,0.89,
chla5,sb5,1.11,
agsc5,fsb2,10.87,
ante2,sb1,6.31,
bosa,sb1,6.1,
sesc2,sb1,17.7,
pava2,fsb5,11.64,
paha,sb2,5.6,
pimi,sb2,2.65,
poco,sb2,6,
arpu9,sb2,2.73,
pava2,sb2,3.56,
agsc5,sb2,7.3,
ercu2,sb2,8.08,
bogr2,fsb2,13.22,
arpu9,fsb2,11.42,
nete,sb5,0.48,
pava2,sb5,3.91,
arpu9,sb5,1.14,
ante2,sb5,0.18,
paha,sb5,9.91,
agsc5,sb5,0.38,
chla5,sb1,8.06,
bogr2,sb3,0.77,
ercu2,fsb4,33.79,
sesc2,sb4,24.31,
poco,fsb5,11.85,
ante2,fsb1,24.99,
bogr2,fsb5,8.18,
poco,sb3,5.76,
dica8,fsb3,24.67,
bosa,fsb2,17.14,
sesc2,sb2,19.48,
sesc2,fsb3,32.18,
sesc2,sb3,13.79,
pimi,fsb1,6.34,
dica8,fsb5,30.25,
dica8,fsb1,20.76,
bogr2,fsb1,11.63,
ercu2,sb3,9.08,
ante2,sb3,4.7,
poco,sb4,6.52,
elvi3,sb3,3.48,
agsc5,fsb4,2.83,
sesc2,fsb4,38.01,
nete,sb3,1.29,
feru2,sb1,4.2,
agsc5,sb1,1.2,
pimi,sb1,0.53,
arpu9,sb1,3.06,
bogr2,sb1,1.57,
pava2,sb1,7.47,
chla5,fsb3,16.92,
elvi3,fsb3,23.47,
navi4,fsb3,11.77,
ante2,fsb3,6.55,
ante2,fsb5,8.6,
agsc5,fsb5,5.03,
feru2,fsb5,9.06,
ercu2,fsb3,35.32,
agsc5,sb3,1.76,
dica8,fsb4,12.34,
chla5,sb3,6.88,
nete,sb4,0.37,
dica8,sb4,14.79,
dica8,sb3,15.76,
paha,fsb4,21.63,
ercu2,sb4,1.72,
feru2,sb4,5.7,
pimi,fsb3,5.4,
sesc2,fsb5,38.84,
dica8,sb5,15.74,
paha,sb3,13.8,
elvi3,fsb1,9.34,
paha,fsb1,34.14,
feru2,fsb1,13.13,
agsc5,fsb1,5.27,
poco,fsb1,9.44,
dica8,fsb2,48.35,
sesc2,fsb2,31.7,
dica8,sb2,19.09,
elvi3,sb4,4.75,
nete,fsb1,1.84,
nete,sb1,1.36,
chla5,sb4,3.06,
pava2,fsb4,10.29,
pava2,sb4,1.31,
feru2,fsb3,17.36,
navi4,sb4,0.86,
chla5,fsb1,14.56,
navi4,sb1,3.76,
ercu2,fsb1,23.43,
chla5,fsb5,10.81,
navi4,fsb1,5.8,
paha,fsb2,50.09,
pava2,fsb2,23.66,
poco,fsb3,7.77,
pava2,sb3,1.75,
elvi3,sb1,6.66,
arpu9,fsb1,10.15,
