spcode,rep,weight,harvestdate
paha,6,0.0044,4/14/18
paha,8,0.0049,4/14/18
paha,1,0.0039,4/14/18
paha,3,0.005,4/14/18
paha,12,0.0026,4/14/18
paha,5,0.0056,4/14/18
paha,4,0.004,4/14/18
paha,7,0.0056,4/14/18
paha,9,0.0039,4/14/18
paha,11,0.0033,4/14/18
paha,2,0.0032,4/14/18
pava2,1,0.007,4/18/18
pava2,2,0.0047,4/18/18
pava2,3,0.0048,4/18/18
pava2,4,0.0026,4/18/18
pava2,5,0.0026,4/18/18
pava2,12,0.0027,4/18/18
pava2,11,0.0043,4/18/18
pava2,10,0.0048,4/18/18
pava2,9,0.0049,4/18/18
pava2,8,0.003,4/18/18
pava2,7,0.0041,4/18/18
pava2,6,0.0069,4/18/18
arpu9,6,0.0028,4/14/18
arpu9,5,0.0024,4/14/18
arpu9,4,0.0033,4/14/18
arpu9,3,0.003,4/14/18
arpu9,2,0.0021,4/14/18
arpu9,1,0.0022,4/14/18
arpu9,7,0.0038,4/14/18
arpu9,12,0.002,4/14/18
arpu9,8,0.0019,4/14/18
arpu9,10,0.0023,4/14/18
arpu9,9,0.0022,4/14/18
arpu9,11,0.0021,4/14/18
feru2,5,0.0011,4/14/18
feru2,6,0.001,4/14/18
feru2,12,0.0013,4/14/18
feru2,2,0.0037,4/14/18
feru2,10,0.0019,4/14/18
feru2,9,0.0028,4/14/18
feru2,7,0.0013,4/14/18
feru2,4,0.0017,4/14/18
feru2,3,0.0013,4/14/18
feru2,8,0.0019,4/14/18
feru2,11,0.0014,4/14/18
feru2,1,0.0023,4/14/18
chla5,1,0.0121,4/14/18
chla5,2,0.0071,4/14/18
chla5,4,0.0157,4/14/18
chla5,10,0.0146,4/14/18
chla5,5,0.0074,4/14/18
chla5,3,0.0114,4/14/18
chla5,7,0.0088,4/14/18
chla5,9,0.0084,4/14/18
chla5,11,0.0078,4/14/18
chla5,12,0.0113,4/14/18
chla5,6,0.0167,4/14/18
chla5,8,0.0131,4/14/18
dica8,2,0.0094,4/14/18
dica8,1,0.0159,4/14/18
dica8,3,0.0163,4/14/18
dica8,4,0.0095,4/14/18
dica8,5,0.0203,4/14/18
dica8,6,0.0127,4/14/18
dica8,7,0.021,4/14/18
dica8,8,0.0117,4/14/18
dica8,9,0.0074,4/14/18
dica8,10,0.0105,4/14/18
dica8,12,0.0167,4/14/18
dica8,11,0.0087,4/14/18
bogr2,5,0.0016,4/14/18
bogr2,1,0.0017,4/14/18
bogr2,2,0.0017,4/14/18
bogr2,3,0.0029,4/14/18
bogr2,4,0.0024,4/14/18
bogr2,12,0.0027,4/14/18
bogr2,11,0.004,4/14/18
bogr2,10,0.0026,4/14/18
bogr2,9,0.0021,4/14/18
bogr2,8,0.0032,4/14/18
bogr2,7,0.0023,4/14/18
bogr2,6,0.0029,4/14/18
ante2,8,0.0023,4/14/18
ante2,9,0.003,4/14/18
ante2,12,0.0017,4/14/18
ante2,11,0.0026,4/14/18
ante2,10,0.0018,4/14/18
ante2,7,0.0026,4/14/18
ante2,6,0.003,4/14/18
ante2,5,0.0016,4/14/18
ante2,4,0.0024,4/14/18
ante2,3,0.002,4/14/18
ante2,2,0.003,4/14/18
ante2,1,0.0055,4/14/18
elvi3,2,0.0057,4/14/18
elvi3,10,0.0041,4/14/18
elvi3,11,0.0043,4/14/18
elvi3,4,0.006,4/14/18
elvi3,3,0.0061,4/14/18
elvi3,9,0.0059,4/14/18
elvi3,12,0.0065,4/14/18
elvi3,7,0.0084,4/14/18
elvi3,6,0.0086,4/14/18
elvi3,5,0.0048,4/14/18
elvi3,1,0.0048,4/14/18
elvi3,8,0.0058,4/14/18
sesc2,1,0.0223,4/18/18
sesc2,5,0.0054,4/18/18
sesc2,6,0.0092,4/18/18
sesc2,7,0.006,4/18/18
sesc2,8,0.0057,4/18/18
sesc2,9,0.0057,4/18/18
sesc2,10,0.0085,4/18/18
sesc2,11,0.0078,4/18/18
sesc2,12,0.0083,4/18/18
sesc2,2,0.0076,4/18/18
sesc2,3,0.0111,4/18/18
sesc2,4,0.0092,4/18/18
navi4,12,0.0009,4/14/18
navi4,10,0.0024,4/14/18
navi4,1,0.0021,4/14/18
navi4,2,0.0013,4/14/18
navi4,3,0.0013,4/14/18
navi4,4,0.0014,4/14/18
navi4,5,0.0016,4/14/18
navi4,6,0.0016,4/14/18
navi4,7,0.0025,4/14/18
navi4,8,0.0014,4/14/18
navi4,9,0.0019,4/14/18
navi4,11,0.0023,4/14/18
agsc5,1,0.0068,4/18/18
agsc5,2,0.0053,4/18/18
agsc5,3,0.0043,4/18/18
agsc5,4,0.0075,4/18/18
agsc5,5,0.0044,4/18/18
agsc5,6,0.0049,4/18/18
agsc5,7,0.0059,4/18/18
agsc5,8,0.0047,4/18/18
agsc5,9,0.0055,4/18/18
agsc5,10,0.0029,4/18/18
agsc5,11,0.0049,4/18/18
agsc5,12,0.0064,4/18/18
nete,1,0.0008,4/25/18
nete,2,0.001,4/25/18
nete,3,0.0007,4/25/18
nete,4,0.0014,4/25/18
nete,5,0.0013,4/25/18
nete,6,0.0009,4/25/18
nete,7,0.0015,4/25/18
nete,8,0.0012,4/25/18
nete,9,0.0011,4/25/18
nete,10,0.001,4/25/18
nete,11,0.0008,4/25/18
nete,12,0.0008,4/25/18
ercu2,1,0.0067,4/18/18
ercu2,2,0.0096,4/18/18
ercu2,3,0.0031,4/18/18
ercu2,4,0.0103,4/18/18
ercu2,5,0.0114,4/18/18
ercu2,6,0.0065,4/18/18
ercu2,7,0.0079,4/18/18
ercu2,8,0.0045,4/18/18
ercu2,9,0.0092,4/18/18
ercu2,10,0.0054,4/18/18
ercu2,11,0.0054,4/18/18
ercu2,12,0.004,4/18/18
bosa,1,0.0109,4/18/18
bosa,2,0.0104,4/18/18
bosa,3,0.0045,4/18/18
bosa,4,0.0071,4/18/18
bosa,5,0.0069,4/18/18
bosa,6,0.0062,4/18/18
bosa,7,0.015,4/18/18
bosa,8,0.0057,4/18/18
bosa,9,0.009,4/18/18
bosa,10,0.0076,4/18/18
bosa,11,0.0052,4/18/18
bosa,12,0.0078,4/18/18
pimi,1,0.0028,4/18/18
pimi,2,0.0026,4/18/18
pimi,3,0.0031,4/18/18
pimi,4,0.0069,4/18/18
pimi,5,0.0063,4/18/18
pimi,6,0.0052,4/18/18
pimi,7,0.0061,4/18/18
pimi,8,0.0069,4/18/18
pimi,9,0.0094,4/18/18
pimi,10,0.007,4/18/18
pimi,11,0.0037,4/18/18
pimi,12,0.0055,4/18/18
pimi,13,0.0091,4/18/18
poco,1,0.0026,4/18/18
poco,2,0.0044,4/18/18
poco,3,0.0052,4/18/18
poco,4,0.0031,4/18/18
poco,5,0.0063,4/18/18
poco,6,0.0034,4/18/18
poco,7,0.0021,4/18/18
poco,8,0.0059,4/18/18
poco,9,0.006,4/18/18
poco,10,0.0045,4/18/18
poco,11,0.0022,4/18/18
poco,12,0.003,4/18/18
