spcode,rep,weight
PAHA,6,0.0044
PAHA,8,0.0049
PAHA,1,0.0039
PAHA,3,0.005
PAHA,12,0.0026
PAHA,5,0.0056
PAHA,4,0.004
PAHA,7,0.0056
PAHA,9,0.0039
PAHA,11,0.0033
PAHA,2,0.0032
PAVA2,1,0.007
PAVA2,2,0.0047
PAVA2,3,0.0048
PAVA2,4,0.0026
PAVA2,5,0.0026
PAVA2,12,0.0027
PAVA2,11,0.0043
PAVA2,10,0.0048
PAVA2,9,0.0049
PAVA2,8,0.003
PAVA2,7,0.0041
PAVA2,6,0.0069
ARPU9,6,0.0028
ARPU9,5,0.0024
ARPU9,4,0.0033
ARPU9,3,0.003
ARPU9,2,0.0021
ARPU9,1,0.0022
ARPU9,7,0.0038
ARPU9,12,0.002
ARPU9,8,0.0019
ARPU9,10,0.0023
ARPU9,9,0.0022
ARPU9,11,0.0021
FERU2,5,0.0011
FERU2,6,0.001
FERU2,12,0.0013
FERU2,2,0.0037
FERU2,10,0.0019
FERU2,9,0.0028
FERU2,7,0.0013
FERU2,4,0.0017
FERU2,3,0.0013
FERU2,8,0.0019
FERU2,11,0.0014
FERU2,1,0.0023
CHLA5,1,0.0121
CHLA5,2,0.0071
CHLA5,4,0.0157
CHLA5,10,0.0146
CHLA5,5,0.0074
CHLA5,3,0.0114
CHLA5,7,0.0088
CHLA5,9,0.0084
CHLA5,11,0.0078
CHLA5,12,0.0113
CHLA5,6,0.0167
CHLA5,8,0.0131
DICA8,2,0.0094
DICA8,1,0.0159
DICA8,3,0.0163
DICA8,4,0.0095
DICA8,5,0.0203
DICA8,6,0.0127
DICA8,7,0.021
DICA8,8,0.0117
DICA8,9,0.0074
DICA8,10,0.0105
DICA8,12,0.0167
DICA8,11,0.0087
BOGR2,5,0.0016
BOGR2,1,0.0017
BOGR2,2,0.0017
BOGR2,3,0.0029
BOGR2,4,0.0024
BOGR2,12,0.0027
BOGR2,11,0.004
BOGR2,10,0.0026
BOGR2,9,0.0021
BOGR2,8,0.0032
BOGR2,7,0.0023
BOGR2,6,0.0029
ANTE2,8,0.0023
ANTE2,9,0.003
ANTE2,12,0.0017
ANTE2,11,0.0026
ANTE2,10,0.0018
ANTE2,7,0.0026
ANTE2,6,0.003
ANTE2,5,0.0016
ANTE2,4,0.0024
ANTE2,3,0.002
ANTE2,2,0.003
ANTE2,1,0.0055
ELVI3,2,0.0057
ELVI3,10,0.0041
ELVI3,11,0.0043
ELVI3,4,0.006
ELVI3,3,0.0061
ELVI3,9,0.0059
ELVI3,12,0.0065
ELVI3,7,0.0084
ELVI3,6,0.0086
ELVI3,5,0.0048
ELVI3,1,0.0048
ELVI3,8,0.0058
SESC2,1,0.0223
SESC2,5,0.0054
SESC2,6,0.0092
SESC2,7,0.006
SESC2,8,0.0057
SESC2,9,0.0057
SESC2,10,0.0085
SESC2,11,0.0078
SESC2,12,0.0083
SESC2,2,0.0076
SESC2,3,0.0111
SESC2,4,0.0092
NAVI4,12,0.0009
NAVI4,10,0.0024
NAVI4,1,0.0021
NAVI4,2,0.0013
NAVI4,3,0.0013
NAVI4,4,0.0014
NAVI4,5,0.0016
NAVI4,6,0.0016
NAVI4,7,0.0025
NAVI4,8,0.0014
NAVI4,9,0.0019
NAVI4,11,0.0023
AGSC5,1,0.0068
AGSC5,2,0.0053
AGSC5,3,0.0043
AGSC5,4,0.0075
AGSC5,5,0.0044
AGSC5,6,0.0049
AGSC5,7,0.0059
AGSC5,8,0.0047
AGSC5,9,0.0055
AGSC5,10,0.0029
AGSC5,11,0.0049
AGSC5,12,0.0064
NETE,1,0.0008
NETE,2,0.001
NETE,3,0.0007
NETE,4,0.0014
NETE,5,0.0013
NETE,6,0.0009
NETE,7,0.0015
NETE,8,0.0012
NETE,9,0.0011
NETE,10,0.001
NETE,11,0.0008
NETE,12,0.0008
ERCU2,1,0.0067
ERCU2,2,0.0096
ERCU2,3,0.0031
ERCU2,4,0.0103
ERCU2,5,0.0114
ERCU2,6,0.0065
ERCU2,7,0.0079
ERCU2,8,0.0045
ERCU2,9,0.0092
ERCU2,10,0.0054
ERCU2,11,0.0054
ERCU2,12,0.004
BOSA,1,0.0109
BOSA,2,0.0104
BOSA,3,0.0045
BOSA,4,0.0071
BOSA,5,0.0069
BOSA,6,0.0062
BOSA,7,0.015
BOSA,8,0.0057
BOSA,9,0.009
BOSA,10,0.0076
BOSA,11,0.0052
BOSA,12,0.0078
PIMI,1,0.0028
PIMI,2,0.0026
PIMI,3,0.0031
PIMI,4,0.0069
PIMI,5,0.0063
PIMI,6,0.0052
PIMI,7,0.0061
PIMI,8,0.0069
PIMI,9,0.0094
PIMI,10,0.007
PIMI,11,0.0037
PIMI,12,0.0055
PIMI,13,0.0091
POCO,1,0.0026
POCO,2,0.0044
POCO,3,0.0052
POCO,4,0.0031
POCO,5,0.0063
POCO,6,0.0034
POCO,7,0.0021
POCO,8,0.0059
POCO,9,0.006
POCO,10,0.0045
POCO,11,0.0022
POCO,12,0.003
