spcode,display.name,short.name,phototype
bogr2,Bouteloua gracilis,B. gracilis,C4
bosa,Bothriochloa saccharoides,B. saccharoides,C4
ercu2,Eragrostis curvula,E. curvula,C4
nete,Nassella tenuissima,N. tenuissima,C3
arpu9,Aristida purpurea,A. purpurea,C4
chla5,Chasmanthium latifolium,C. latifolium,C3
navi4,Nassella viridula,N. viridula,C3
elvi3,Elymus virginicus,E. virginicus,C3
agsc5,Agrostis scabra,A. scabra,C3
pava2,Pappophorum vaginatum,P. vaginatum,C4
paha,Panicum hallii,P. hallii,C4
ante2,Andropogon ternarius,A. ternarius,C4
sesc2,Setaria scheelei,S. scheelei,C4
feru2,Festuca rubra,F. rubra,C3
pimi,Piptatheropsis micrantha,P. micrantha,C3
dica8,Digitaria californica,D. californica,C4
poco,Poa compressa,P. compressa,C3
