Serial Number:20230879 --

"Date Time, GMT -0500","Temp, (*F)","RH, (%)","DewPt, (*F)","Host Connect","Stopped","EOF"
2019-04-25 11:13:59,68.44,51.10,49.69, , , 
2019-04-25 11:18:59,67.83,52.08,49.64, , , 
2019-04-25 11:23:59,67.28,53.00,49.60, , , 
2019-04-25 11:28:59,67.05,53.50,49.64, , , 
2019-04-25 11:33:59,67.13,53.50,49.71, , , 
2019-04-25 11:38:59,67.36,52.78,49.56, , , 
2019-04-25 11:43:59,67.67,51.07,48.97, , , 
2019-04-25 11:48:59,67.90,50.05,48.64, , , 
2019-04-25 11:53:59,68.06,50.34,48.93, , , 
2019-04-25 11:58:59,67.90,50.59,48.93, , , 
2019-04-25 12:03:59,68.06,49.60,48.54, , , 
2019-04-25 12:08:59,68.21,49.29,48.51, , , 
2019-04-25 12:13:59,68.06,49.86,48.68, , , 
2019-04-25 12:18:59,68.13,49.54,48.58, , , 
2019-04-25 12:23:59,68.21,49.54,48.65, , , 
2019-04-25 12:28:59,68.37,50.34,49.22, , , 
2019-04-25 12:33:59,68.44,49.83,49.02, , , 
2019-04-25 12:38:59,68.52,49.13,48.71, , , 
2019-04-25 12:43:59,68.75,48.65,48.66, , , 
2019-04-25 12:48:59,68.83,48.13,48.45, , , 
2019-04-25 12:53:59,68.91,48.33,48.62, , , 
2019-04-25 12:58:59,68.91,47.33,48.07, , , 
2019-04-25 13:03:59,69.06,46.56,47.77, , , 
2019-04-25 13:08:59,69.14,46.88,48.03, , , 
2019-04-25 13:13:59,69.45,46.08,47.85, , , 
2019-04-25 13:18:59,69.45,46.91,48.33, , , 
2019-04-25 13:23:59,69.52,47.11,48.51, , , 
2019-04-25 13:28:59,69.76,46.95,48.63, , , 
2019-04-25 13:33:59,69.99,46.40,48.52, , , 
2019-04-25 13:38:59,70.06,45.43,48.03, , , 
2019-04-25 13:43:59,70.14,45.63,48.22, , , 
2019-04-25 13:48:59,70.22,45.43,48.17, , , 
2019-04-25 13:53:59,70.22,45.17,48.02, , , 
2019-04-25 13:58:59,70.30,44.62,47.76, , , 
2019-04-25 14:03:59,70.61,44.20,47.79, , , 
2019-04-25 14:08:59,70.76,43.62,47.58, , , 
2019-04-25 14:13:59,70.84,43.94,47.84, , , 
2019-04-25 14:18:59,70.91,43.68,47.76, , , 
2019-04-25 14:23:59,70.99,43.65,47.81, , , 
2019-04-25 14:28:59,71.22,43.19,47.74, , , 
2019-04-25 14:33:59,71.22,43.19,47.74, , , 
2019-04-25 14:38:59,71.38,43.19,47.87, , , 
2019-04-25 14:43:59,71.45,43.97,48.42, , , 
2019-04-25 14:48:59,71.53,43.94,48.47, , , 
2019-04-25 14:53:59,71.69,44.20,48.77, , , 
2019-04-25 14:58:59,71.69,43.42,48.29, , , 
2019-04-25 15:03:59,71.76,42.90,48.04, , , 
2019-04-25 15:08:59,71.84,42.97,48.15, , , 
2019-04-25 15:13:59,71.92,42.67,48.04, , , 
2019-04-25 15:18:59,72.00,43.00,48.31, , , 
2019-04-25 15:23:59,72.30,43.52,48.91, , , 
2019-04-25 15:28:59,72.30,42.93,48.55, , , 
2019-04-25 15:33:59,72.46,43.23,48.87, , , 
2019-04-25 15:38:59,72.54,42.97,48.78, , , 
2019-04-25 15:43:59,72.54,42.71,48.62, , , 
2019-04-25 15:48:59,72.77,42.18,48.50, , , 
2019-04-25 15:53:59,72.84,42.51,48.77, , , 
2019-04-25 15:58:59,72.92,42.28,48.70, , , 
2019-04-25 16:02:31, , , ,Logged, , 
2019-04-25 16:02:37, , , , ,Logged,Logged
