Serial Number:20230879 --

"Date Time, GMT -0500","Temp, (*F)","RH, (%)","DewPt, (*F)","Host Connect","EOF"
2019-04-26 11:08:49,64.97,54.79,48.34, , 
2019-04-26 11:13:49,65.97,45.11,44.12, , 
2019-04-26 11:18:49,65.35,46.14,44.15, , 
2019-04-26 11:23:49,64.97,46.56,44.04, , 
2019-04-26 11:28:49,64.74,46.27,43.66, , 
2019-04-26 11:33:49,64.58,46.01,43.38, , 
2019-04-26 11:38:49,64.35,47.27,43.87, , 
2019-04-26 11:43:49,64.20,45.98,43.01, , 
2019-04-26 11:48:49,64.12,46.79,43.39, , 
2019-04-26 11:53:49,64.04,47.30,43.60, , 
2019-04-26 11:58:49,64.35,46.56,43.47, , 
2019-04-26 12:03:49,64.58,46.82,43.83, , 
2019-04-26 12:08:49,64.89,44.75,42.93, , 
2019-04-26 12:13:49,65.05,45.59,43.56, , 
2019-04-26 12:18:49,65.20,44.27,42.93, , 
2019-04-26 12:23:49,65.43,43.58,42.74, , 
2019-04-26 12:28:49,65.59,43.62,42.89, , 
2019-04-26 12:33:49,65.59,41.53,41.62, , 
2019-04-26 12:38:49,65.74,42.02,42.06, , 
2019-04-26 12:43:49,65.97,41.47,41.93, , 
2019-04-26 12:48:49,66.05,41.30,41.90, , 
2019-04-26 12:53:49,66.05,42.80,42.82, , 
2019-04-26 12:58:49,66.05,43.13,43.02, , 
2019-04-26 13:03:49,65.97,43.29,43.05, , 
2019-04-26 13:08:49,65.97,43.06,42.91, , 
2019-04-26 13:13:49,66.20,43.13,43.16, , 
2019-04-26 13:18:49,66.20,43.13,43.16, , 
2019-04-26 13:23:49,66.44,42.84,43.19, , 
2019-04-26 13:28:49,66.44,42.58,43.03, , 
2019-04-26 13:33:49,66.36,43.39,43.46, , 
2019-04-26 13:38:49,66.44,44.10,43.95, , 
2019-04-26 13:43:49,66.51,43.84,43.87, , 
2019-04-26 13:48:49,66.51,43.58,43.71, , 
2019-04-26 13:53:49,66.44,43.10,43.35, , 
2019-04-26 13:58:49,66.36,43.13,43.30, , 
2019-04-26 14:03:49,66.44,42.64,43.07, , 
2019-04-26 14:08:49,66.36,42.12,42.68, , 
2019-04-26 14:13:49,66.44,42.58,43.03, , 
2019-04-26 14:18:49,66.67,42.32,43.08, , 
2019-04-26 14:23:49,66.90,42.35,43.31, , 
2019-04-26 14:28:49,67.21,42.41,43.63, , 
2019-04-26 14:33:49,67.52,41.86,43.56, , 
2019-04-26 14:38:49,67.75,42.45,44.14, , 
2019-04-26 14:43:49,67.98,41.40,43.69, , 
2019-04-26 14:48:49,68.13,41.96,44.18, , 
2019-04-26 14:53:49,68.29,42.51,44.66, , 
2019-04-26 14:58:49,68.60,42.18,44.74, , 
2019-04-26 15:03:49,68.83,42.28,45.01, , 
2019-04-26 15:08:49,68.98,41.66,44.76, , 
2019-04-26 15:13:49,69.06,42.28,45.22, , 
2019-04-26 15:18:49,69.22,42.28,45.36, , 
2019-04-26 15:23:49,69.37,43.32,46.14, , 
2019-04-26 15:28:49,69.60,42.32,45.73, , 
2019-04-26 15:33:49,69.68,41.99,45.59, , 
2019-04-26 15:38:49,69.68,43.10,46.28, , 
2019-04-26 15:43:49,69.91,42.61,46.19, , 
2019-04-26 15:48:49,70.06,40.52,45.00, , 
2019-04-26 15:53:49,70.22,40.22,44.95, , 
2019-04-26 15:58:49,70.37,39.70,44.74, , 
2019-04-26 16:03:49,70.53,40.22,45.22, , 
2019-04-26 16:08:49,70.68,40.22,45.36, , 
2019-04-26 16:13:49,70.84,40.02,45.37, , 
2019-04-26 16:18:49,70.84,39.20,44.82, , 
2019-04-26 16:23:49,70.99,39.73,45.31, , 
2019-04-26 16:28:49,71.30,38.51,44.77, , 
2019-04-26 16:29:50, , , ,Logged,Logged
