Serial Number:20230879 --

"Date Time, GMT -0500","Temp, (*F)","RH, (%)","DewPt, (*F)","Button Down","Host Connect","EOF"
2019-05-01 10:32:06,71.22,37.16,43.76, , , 
2019-05-01 10:37:06,71.84,34.30,42.22, , , 
2019-05-01 10:42:06,71.22,36.06,42.98, , , 
2019-05-01 10:47:06,70.99,36.09,42.80, , , 
2019-05-01 10:52:06,70.84,35.76,42.42, , , 
2019-05-01 10:57:06,70.68,35.60,42.16, , , 
2019-05-01 11:02:06,70.61,34.43,41.23, , , 
2019-05-01 11:07:06,70.76,35.56,42.21, , , 
2019-05-01 11:12:06,70.84,34.20,41.26, , , 
2019-05-01 11:17:06,70.91,34.76,41.75, , , 
2019-05-01 11:22:06,71.07,35.00,42.06, , , 
2019-05-01 11:27:06,71.15,35.33,42.38, , , 
2019-05-01 11:32:06,71.38,34.83,42.21, , , 
2019-05-01 11:37:06,71.53,34.23,41.90, , , 
2019-05-01 11:42:06,71.61,34.53,42.19, , , 
2019-05-01 11:47:06,71.61,34.30,42.01, , , 
2019-05-01 11:52:06,71.84,34.30,42.22, , , 
2019-05-01 11:57:06,72.00,34.33,42.38, , , 
2019-05-01 12:02:06,72.23,35.06,43.13, , , 
2019-05-01 12:07:06,72.30,35.86,43.79, , , 
2019-05-01 12:12:06,72.46,35.66,43.78, , , 
2019-05-01 12:17:06,72.54,35.86,43.99, , , 
2019-05-01 12:22:06,72.69,35.16,43.62, , , 
2019-05-01 12:27:06,72.84,34.83,43.50, , , 
2019-05-01 12:32:06,73.08,35.16,43.96, , , 
2019-05-01 12:37:06,73.15,34.90,43.83, , , 
2019-05-01 12:42:06,73.31,34.90,43.96, , , 
2019-05-01 12:47:06,73.46,34.66,43.92, , , 
2019-05-01 12:52:06,73.69,34.06,43.67, , , 
2019-05-01 12:57:06,73.77,33.66,43.43, , , 
2019-05-01 13:02:06,73.93,32.72,42.82, , , 
2019-05-01 13:07:06,74.00,33.53,43.52, , , 
2019-05-01 13:12:06,74.31,32.99,43.37, , , 
2019-05-01 13:17:06,74.54,32.22,42.96, , , 
2019-05-01 13:22:06,74.62,31.14,42.14, , , 
2019-05-01 13:27:06,74.70,31.14,42.21, , , 
2019-05-01 13:32:06,74.93,30.10,41.52, , , 
2019-05-01 13:37:06,75.01,30.77,42.17, , , 
2019-05-01 13:42:06,75.16,28.74,40.53, , , 
2019-05-01 13:47:06,75.32,28.74,40.67, , , 
2019-05-01 13:52:06,75.39,28.74,40.73, , , 
2019-05-01 13:57:06,75.70,27.55,39.91, , , 
2019-05-01 14:02:06,75.86,27.96,40.42, , , 
2019-05-01 14:07:06,75.86,28.50,40.92, , , 
2019-05-01 14:12:06,75.93,26.87,39.46, , , 
2019-05-01 14:17:06,76.17,27.55,40.31, , , 
2019-05-01 14:22:06,76.32,26.91,39.83, , , 
2019-05-01 14:23:40, , , ,Logged, , 
2019-05-01 14:23:44, , , , ,Logged,Logged
