Serial Number:20230879 --

"Date Time, GMT -0500","Temp, (*F)","RH, (%)","DewPt, (*F)","Button Down","Host Connect","Stopped","EOF"
2019-05-08 10:31:31,69.22,49.64,49.62, , , , 
2019-05-08 10:36:31,68.67,42.25,44.85, , , , 
2019-05-08 10:41:31,67.83,43.42,44.80, , , , 
2019-05-08 10:46:31,67.44,46.21,46.09, , , , 
2019-05-08 10:51:31,67.28,45.75,45.69, , , , 
2019-05-08 10:56:31,67.13,45.50,45.40, , , , 
2019-05-08 11:01:31,67.21,46.50,46.05, , , , 
2019-05-08 11:06:31,67.21,46.95,46.30, , , , 
2019-05-08 11:11:31,67.28,47.01,46.41, , , , 
2019-05-08 11:16:31,67.36,46.21,46.02, , , , 
2019-05-08 11:21:31,67.52,47.97,47.16, , , , 
2019-05-08 11:26:31,67.52,47.56,46.92, , , , 
2019-05-08 11:31:31,67.67,46.53,46.49, , , , 
2019-05-08 11:36:31,67.83,46.82,46.79, , , , 
2019-05-08 11:41:31,68.06,45.24,46.09, , , , 
2019-05-08 11:46:31,68.06,45.04,45.98, , , , 
2019-05-08 11:51:31,68.13,45.30,46.20, , , , 
2019-05-08 11:56:31,68.21,46.27,46.83, , , , 
2019-05-08 12:01:31,68.44,46.27,47.04, , , , 
2019-05-08 12:06:31,68.52,45.08,46.42, , , , 
2019-05-08 12:11:31,68.60,44.49,46.15, , , , 
2019-05-08 12:16:31,68.67,45.27,46.67, , , , 
2019-05-08 12:21:31,68.83,45.27,46.81, , , , 
2019-05-08 12:26:31,68.91,45.37,46.94, , , , 
2019-05-08 12:31:31,68.98,44.59,46.55, , , , 
2019-05-08 12:36:31,69.14,43.52,46.05, , , , 
2019-05-08 12:41:31,69.22,44.30,46.59, , , , 
2019-05-08 12:46:31,69.29,44.82,46.97, , , , 
2019-05-08 12:51:31,69.45,44.88,47.15, , , , 
2019-05-08 12:56:31,69.52,43.84,46.60, , , , 
2019-05-08 13:01:31,69.76,43.81,46.79, , , , 
2019-05-08 13:06:31,69.83,43.81,46.86, , , , 
2019-05-08 13:11:31,69.91,42.87,46.35, , , , 
2019-05-08 13:16:31,70.06,43.06,46.61, , , , 
2019-05-08 13:21:31,70.22,42.28,46.26, , , , 
2019-05-08 13:26:31,70.30,42.87,46.70, , , , 
2019-05-08 13:31:31,70.37,42.58,46.59, , , , 
2019-05-08 13:36:31,70.45,42.05,46.33, , , , 
2019-05-08 13:41:31,70.61,41.79,46.30, , , , 
2019-05-08 13:46:31,70.68,41.83,46.39, , , , 
2019-05-08 13:51:31,70.84,41.60,46.39, , , , 
2019-05-08 13:56:31,70.91,41.60,46.46, , , , 
2019-05-08 14:01:31,70.99,41.27,46.32, , , , 
2019-05-08 14:06:31,71.07,41.34,46.43, , , , 
2019-05-08 14:11:31,71.22,41.86,46.90, , , , 
2019-05-08 14:16:31,71.38,41.56,46.85, , , , 
2019-05-08 14:21:31,71.30,41.40,46.68, , , , 
2019-05-08 14:26:31,71.53,42.12,47.34, , , , 
2019-05-08 14:31:31,71.61,41.56,47.06, , , , 
2019-05-08 14:36:31,71.69,42.71,47.85, , , , 
2019-05-08 14:41:31,71.76,42.45,47.76, , , , 
2019-05-08 14:46:31,71.84,41.69,47.35, , , , 
2019-05-08 14:51:31,72.00,40.39,46.64, , , , 
2019-05-08 14:56:31,72.15,41.86,47.73, , , , 
2019-05-08 15:01:31,72.23,40.58,46.98, , , , 
2019-05-08 15:06:31,72.38,40.58,47.12, , , , 
2019-05-08 15:11:31,72.30,40.91,47.26, , , , 
2019-05-08 15:16:31,72.46,40.32,47.02, , , , 
2019-05-08 15:21:31,72.54,40.39,47.13, , , , 
2019-05-08 15:26:31,72.69,41.40,47.93, , , , 
2019-05-08 15:31:31,72.69,40.94,47.63, , , , 
2019-05-08 15:36:31,72.77,40.68,47.53, , , , 
2019-05-08 15:41:31,72.84,40.35,47.38, , , , 
2019-05-08 15:46:31,72.92,41.14,47.97, , , , 
2019-05-08 15:51:31,73.00,39.60,47.02, , , , 
2019-05-08 15:56:31,73.15,40.65,47.85, , , , 
2019-05-08 16:01:31,73.15,40.19,47.55, , , , 
2019-05-08 16:06:31,73.39,39.66,47.41, , , , 
2019-05-08 16:11:31,73.39,40.45,47.93, , , , 
2019-05-08 16:16:31,73.46,40.39,47.96, , , , 
2019-05-08 16:21:31,73.54,39.86,47.68, , , , 
2019-05-08 16:26:31,73.69,39.43,47.53, , , , 
2019-05-08 16:31:31,73.77,39.17,47.42, , , , 
2019-05-08 16:36:31,73.85,39.20,47.51, , , , 
2019-05-08 16:41:31,73.93,39.37,47.69, , , , 
2019-05-08 16:46:31,74.08,37.55,46.58, , , , 
2019-05-08 16:51:31,74.08,37.82,46.76, , , , 
2019-05-08 16:56:31,74.23,37.32,46.55, , , , 
2019-05-08 17:01:31,74.23,38.08,47.08, , , , 
2019-05-08 17:06:31,74.31,37.88,47.01, , , , 
2019-05-08 17:11:31,74.31,37.65,46.85, , , , 
2019-05-08 17:16:31,74.39,37.88,47.08, , , , 
2019-05-08 17:21:31,74.39,38.15,47.27, , , , 
2019-05-08 17:26:31,74.54,38.97,47.97, , , , 
2019-05-08 17:31:31,74.47,37.62,46.96, , , , 
2019-05-08 17:36:31,74.62,37.82,47.24, , , , 
2019-05-08 17:41:31,74.47,36.56,46.21, , , , 
2019-05-08 17:46:31,74.54,37.88,47.22, , , , 
2019-05-08 17:51:31,74.54,37.29,46.80, , , , 
2019-05-08 17:56:31,74.54,37.29,46.80, , , , 
2019-05-08 18:01:31,74.62,36.89,46.58, , , , 
2019-05-08 18:06:31,74.70,35.99,46.00, , , , 
2019-05-08 18:11:31,74.85,36.26,46.33, , , , 
2019-05-08 18:16:18, , , ,Logged, , , 
2019-05-08 18:16:19, , , ,Logged, , , 
2019-05-08 18:16:20, , , , ,Logged, , 
2019-05-08 18:16:24, , , , , ,Logged,Logged
